# x_m, y_m, v_mps
-5.968,-0.253,5.085
-5.878,-0.285,5.124
-5.787,-0.316,5.164
-5.695,-0.344,5.205
-5.603,-0.371,5.247
-5.510,-0.397,5.290
-5.416,-0.421,5.334
-5.322,-0.443,5.379
-5.228,-0.464,5.425
-5.133,-0.483,5.471
-5.038,-0.501,5.519
-4.942,-0.517,5.568
-4.847,-0.532,5.618
-4.751,-0.546,5.669
-4.654,-0.558,5.720
-4.558,-0.569,5.772
-4.461,-0.579,5.825
-4.364,-0.588,5.879
-4.266,-0.595,5.933
-4.169,-0.601,5.988
-4.072,-0.606,6.043
-3.974,-0.611,6.099
-3.877,-0.614,6.155
-3.779,-0.615,6.211
-3.681,-0.616,6.267
-3.583,-0.616,6.322
