# x_m, y_m, vx_mps, d_m, s_m, kappa_radpm, psi_rad, ax_mps2
6.761623,-1.286262,3.921158,-0.324720,7.089445,0.438108,0.296028,-0.858389
6.842758,-1.261418,3.902538,-0.318568,7.189297,0.449772,0.328572,-0.742164
6.922236,-1.234230,3.886531,-0.311743,7.289148,0.460615,0.362366,-0.626717
7.000220,-1.204575,3.873054,-0.304277,7.388999,0.470643,0.397565,-0.519289
7.076383,-1.172489,3.861957,-0.296258,7.488851,0.479758,0.434307,-0.416219
7.150487,-1.137989,3.853137,-0.287775,7.588702,0.488165,0.473307,-0.311779
7.222491,-1.101004,3.846582,-0.278900,7.688553,0.495967,0.514855,-0.209136
7.358806,-1.019890,3.840072,-0.261751,7.788405,0.509787,0.605202,-0.032356
7.422696,-0.975818,3.839418,-0.252200,7.888256,0.515782,0.653691,-0.032165
7.483406,-0.929487,3.838778,-0.242852,7.988107,0.521204,0.704148,-0.032024
7.540423,-0.881189,3.838155,-0.233967,8.087959,0.526001,0.756272,-0.032016
7.593325,-0.831152,3.837547,-0.225863,8.187810,0.530190,0.810072,-0.032092
7.641919,-0.779440,3.836954,-0.218879,8.287661,0.533810,0.865170,-0.031999
7.686157,-0.726043,3.836376,-0.213318,8.387513,0.536815,0.921407,-0.033077
7.761785,-0.613487,3.835197,-0.206737,8.487364,0.541122,1.036038,-0.033501
7.794742,-0.552083,3.834588,-0.205129,8.587215,0.542378,1.093845,-0.033358
7.824463,-0.487411,3.833969,-0.205051,8.687067,0.543077,1.151441,-0.032791
7.850763,-0.419951,3.833349,-0.206377,8.786918,0.543142,1.208551,-0.032781
7.873565,-0.350048,3.832721,-0.208968,8.886769,0.542642,1.264845,-0.032770
7.908400,-0.204414,3.831440,-0.216608,8.986621,0.539762,1.373555,-0.032748
7.920357,-0.129285,3.830790,-0.221867,9.086472,0.537435,1.425180,-0.032737
7.928689,-0.052881,3.830133,-0.228105,9.186323,0.534412,1.474654,-0.032726
7.933428,0.024558,3.829470,-0.235216,9.286175,0.530715,1.521893,-0.032715
7.934618,0.102957,3.828800,-0.243111,9.386026,0.526293,1.566698,-0.032703
7.932308,0.181926,3.828125,-0.251675,9.485878,0.520929,1.609811,-0.032692
7.926551,0.261494,3.827444,-0.260838,9.585729,0.514605,1.651651,0.023864
