# x_m, y_m, v_mps
4.271,-0.171,6.169
4.361,-0.155,6.119
4.450,-0.138,6.072
4.538,-0.119,6.027
4.625,-0.098,5.984
4.711,-0.076,5.943
4.796,-0.051,5.905
4.880,-0.025,5.869
4.963,0.002,5.835
5.044,0.032,5.803
5.124,0.064,5.773
5.203,0.097,5.744
5.279,0.133,5.718
5.354,0.171,5.693
5.427,0.211,5.670
5.499,0.253,5.648
5.568,0.297,5.628
5.634,0.343,5.609
5.699,0.391,5.592
5.761,0.442,5.575
5.822,0.495,5.559
5.880,0.550,5.545
5.935,0.607,5.531
5.989,0.667,5.518
6.040,0.729,5.506
6.089,0.793,5.495
6.136,0.859,5.485
6.181,0.927,5.475
6.223,0.997,5.466
6.263,1.069,5.458
6.300,1.142,5.451
6.335,1.217,5.445
6.367,1.294,5.439
6.397,1.371,5.434
6.425,1.450,5.430
6.450,1.530,5.427
6.473,1.611,5.424
6.493,1.693,5.422
6.511,1.776,5.421
6.526,1.859,5.420
6.538,1.943,5.419
6.549,2.027,5.418
6.556,2.112,5.417
6.561,2.196,5.416
6.564,2.280,5.415
6.563,2.364,5.414
6.560,2.448,5.413
6.555,2.531,5.412
6.546,2.613,5.411
6.535,2.696,5.410
6.521,2.777,5.409
6.504,2.858,5.408
6.485,2.937,5.407
6.463,3.016,5.406
6.438,3.094,5.405
6.410,3.170,5.404
6.379,3.245,5.403
6.346,3.319,5.402
6.310,3.391,5.401
6.272,3.461,5.400
6.231,3.529,5.399
6.187,3.595,5.398
6.141,3.659,5.397
6.093,3.720,5.396
6.042,3.779,5.396
5.989,3.835,5.395
5.934,3.888,5.394
5.878,3.938,5.393
5.819,3.984,5.392
5.758,4.028,5.391
5.696,4.067,5.390
5.633,4.103,5.389
5.569,4.135,5.389
5.504,4.162,5.388
5.437,4.186,5.387
5.369,4.206,5.386
5.298,4.223,5.385
5.226,4.236,5.384
