# x_m, y_m, v_mps
0.082,0.462,5.973
0.170,0.484,5.932
0.257,0.508,5.893
0.343,0.533,5.855
0.428,0.560,5.820
0.512,0.589,5.787
0.595,0.620,5.755
0.676,0.652,5.725
0.757,0.686,5.697
0.836,0.722,5.670
0.914,0.760,5.644
0.990,0.799,5.620
1.065,0.841,5.597
1.138,0.884,5.575
1.209,0.930,5.554
1.279,0.977,5.535
1.346,1.026,5.516
1.411,1.077,5.498
1.474,1.130,5.481
1.535,1.185,5.465
1.594,1.242,5.450
1.650,1.301,5.436
1.704,1.362,5.422
1.756,1.424,5.410
1.805,1.489,5.398
1.853,1.556,5.387
1.897,1.624,5.377
1.940,1.695,5.368
1.980,1.767,5.361
2.018,1.840,5.354
2.053,1.916,5.349
2.086,1.992,5.346
2.117,2.070,5.344
2.145,2.149,5.343
2.171,2.229,5.341
2.194,2.311,5.340
2.215,2.394,5.339
2.234,2.477,5.338
2.250,2.561,5.337
2.264,2.645,5.336
2.275,2.729,5.335
2.284,2.813,5.334
2.290,2.897,5.333
2.293,2.981,5.332
2.294,3.064,5.331
2.291,3.147,5.330
2.286,3.230,5.329
2.279,3.312,5.328
2.268,3.394,5.328
2.254,3.475,5.327
2.238,3.555,5.326
2.219,3.635,5.325
2.197,3.713,5.324
2.172,3.790,5.323
2.145,3.866,5.322
2.114,3.940,5.321
2.081,4.013,5.320
2.045,4.084,5.319
2.007,4.154,5.318
1.966,4.221,5.317
1.922,4.286,5.316
1.876,4.348,5.315
1.827,4.409,5.314
1.776,4.466,5.313
1.723,4.521,5.312
1.667,4.572,5.312
1.610,4.621,5.311
1.551,4.665,5.310
1.490,4.707,5.309
1.429,4.744,5.308
1.366,4.778,5.307
1.302,4.807,5.307
1.239,4.831,5.306
1.175,4.851,5.305
1.108,4.867,5.304
1.039,4.879,5.303
0.967,4.888,5.302
0.892,4.893,5.302
0.816,4.894,5.301
0.738,4.892,5.300
0.658,4.887,5.299
0.578,4.878,5.299
0.497,4.867,5.305
0.415,4.852,5.318
0.333,4.834,5.337
0.251,4.814,5.363
0.169,4.790,5.395
0.086,4.765,5.433
0.003,4.737,5.478
-0.080,4.706,5.529
-0.163,4.674,5.587
-0.247,4.639,5.652
-0.330,4.603,5.724
-0.414,4.565,5.802
-0.498,4.525,5.883
-0.582,4.484,5.963
-0.667,4.441,6.000
-0.752,4.397,6.000
-0.838,4.352,6.000
-0.924,4.306,6.000
-1.010,4.260,6.000
-1.098,4.213,6.000
-1.186,4.165,6.000
-1.275,4.117,6.000
-1.365,4.069,6.000
-1.456,4.021,6.000
-1.548,3.973,6.000
-1.642,3.926,6.000
-1.736,3.879,6.000
-1.832,3.833,6.000
-1.930,3.788,6.000
-2.029,3.744,6.000
-2.130,3.701,6.000
-2.232,3.661,6.000
-2.336,3.622,6.000
-2.442,3.585,6.000
-2.550,3.551,6.000
-2.660,3.519,6.000
-2.771,3.490,6.000
-2.884,3.465,6.000
-3.000,3.443,6.000
-3.117,3.426,6.000
-3.235,3.412,6.000
-3.355,3.403,6.000
-3.475,3.399,6.000
-3.595,3.400,6.000
-3.715,3.406,6.000
-3.833,3.416,6.000
-3.950,3.430,6.000
-4.065,3.449,6.000
-4.179,3.471,6.000
-4.291,3.496,6.000
-4.401,3.524,6.000
-4.509,3.555,6.000
-4.616,3.588,6.000
-4.721,3.623,6.000
-4.825,3.660,6.000
-4.927,3.699,6.000
-5.027,3.740,6.000
-5.126,3.781,6.000
-5.223,3.824,6.000
-5.319,3.867,6.000
-5.414,3.910,6.000
-5.507,3.954,6.000
-5.600,3.998,6.000
-5.691,4.042,6.000
-5.781,4.086,6.000
-5.870,4.129,6.000
-5.959,4.172,6.000
-6.047,4.213,6.000
-6.134,4.254,6.000
-6.221,4.294,6.000
-6.307,4.332,6.000
-6.392,4.369,5.914
-6.478,4.404,5.828
-6.563,4.438,5.749
-6.648,4.470,5.678
-6.732,4.500,5.614
-6.816,4.527,5.556
-6.900,4.553,5.505
-6.984,4.576,5.462
-7.068,4.596,5.425
-7.151,4.614,5.394
-7.233,4.630,5.371
-7.316,4.642,5.354
-7.397,4.652,5.344
-7.478,4.658,5.341
-7.558,4.661,5.340
-7.638,4.661,5.340
-7.716,4.658,5.339
-7.792,4.651,5.338
-7.867,4.641,5.337
-7.941,4.628,5.336
-8.012,4.611,5.335
-8.080,4.590,5.334
-8.146,4.566,5.333
-8.210,4.539,5.333
-8.271,4.507,5.332
-8.332,4.472,5.331
-8.391,4.432,5.330
-8.449,4.389,5.329
-8.505,4.341,5.328
-8.560,4.291,5.327
-8.612,4.237,5.327
-8.662,4.180,5.326
-8.709,4.120,5.325
-8.754,4.057,5.324
-8.797,3.993,5.323
-8.837,3.925,5.322
-8.874,3.856,5.321
-8.908,3.785,5.320
-8.940,3.712,5.319
-8.969,3.637,5.318
-8.995,3.561,5.317
-9.019,3.484,5.316
-9.039,3.405,5.315
-9.057,3.325,5.314
-9.072,3.244,5.313
-9.084,3.163,5.312
-9.093,3.080,5.311
-9.100,2.997,5.310
-9.104,2.914,5.309
