# x_m, y_m, v_mps
-4.086,-0.389,4.476
-4.006,-0.407,4.493
-3.926,-0.422,4.510
-3.844,-0.434,4.529
-3.762,-0.443,4.549
-3.678,-0.450,4.570
-3.594,-0.454,4.592
-3.509,-0.456,4.615
-3.424,-0.455,4.641
-3.338,-0.451,4.667
-3.252,-0.446,4.695
-3.165,-0.438,4.725
-3.078,-0.427,4.756
-2.991,-0.415,4.790
-2.904,-0.401,4.825
-2.816,-0.384,4.862
-2.729,-0.366,4.901
-2.641,-0.346,4.942
-2.553,-0.323,4.985
-2.466,-0.300,5.030
-2.378,-0.274,5.077
-2.290,-0.247,5.127
-2.203,-0.219,5.179
-2.115,-0.189,5.233
-2.027,-0.158,5.290
-1.939,-0.125,5.348
-1.851,-0.092,5.409
-1.763,-0.057,5.471
-1.675,-0.021,5.536
-1.587,0.016,5.602
-1.499,0.053,5.669
-1.411,0.092,5.738
-1.323,0.131,5.808
-1.234,0.171,5.879
-1.145,0.211,5.951
-1.056,0.252,6.024
-0.967,0.294,6.097
-0.877,0.336,6.170
-0.787,0.378,6.244
-0.697,0.420,6.317
-0.607,0.463,6.389
-0.516,0.505,6.460
-0.426,0.547,6.530
-0.336,0.590,6.598
-0.246,0.632,6.665
-0.155,0.674,6.729
