0.284,-0.010,7.913
0.374,0.034,7.971
0.463,0.079,8.029
0.552,0.125,8.077
0.640,0.171,8.019
0.728,0.219,7.959
0.815,0.267,7.899
0.902,0.316,7.839
0.989,0.366,7.778
1.075,0.417,7.718
1.160,0.468,7.657
1.245,0.521,7.597
1.329,0.574,7.537
1.413,0.629,7.477
1.496,0.684,7.418
1.579,0.740,7.359
1.661,0.798,7.300
1.742,0.856,7.241
1.822,0.915,7.184
1.902,0.975,7.126
1.980,1.037,7.070
2.058,1.099,7.013
2.135,1.162,6.956
2.212,1.227,6.899
2.287,1.293,6.842
2.361,1.359,6.786
2.434,1.427,6.730
2.506,1.496,6.675
2.577,1.566,6.621
2.647,1.638,6.566
2.716,1.710,6.513
2.783,1.784,6.459
2.849,1.859,6.407
2.914,1.935,6.354
2.977,2.012,6.301
3.039,2.090,6.249
3.099,2.170,6.197
3.158,2.251,6.146
3.215,2.333,6.095
3.270,2.416,6.044
3.324,2.500,5.992
3.375,2.586,5.939
3.425,2.672,5.885
3.473,2.760,5.832
3.518,2.849,5.782
3.562,2.939,5.737
3.603,3.030,5.698
3.642,3.122,5.665
3.678,3.215,5.638
3.712,3.309,5.618
3.743,3.404,5.603
3.770,3.499,5.587
3.795,3.596,5.572
3.817,3.694,5.556
3.836,3.792,5.537
3.852,3.890,5.517
3.864,3.989,5.495
3.874,4.089,5.470
3.881,4.188,5.442
3.884,4.288,5.412
3.885,4.388,5.379
3.882,4.488,5.344
3.876,4.587,5.305
3.867,4.687,5.263
3.855,4.786,5.218
3.840,4.885,5.170
3.822,4.983,5.119
3.801,5.080,5.064
3.777,5.177,5.005
3.749,5.273,4.941
3.718,5.368,4.877
3.685,5.462,4.813
3.648,5.555,4.750
3.608,5.646,4.690
3.564,5.736,4.634
3.518,5.825,4.582
3.468,5.911,4.535
3.415,5.996,4.491
3.359,6.078,4.448
3.300,6.159,4.404
3.237,6.236,4.360
3.171,6.311,4.316
3.102,6.384,4.273
3.030,6.452,4.230
2.955,6.518,4.187
2.876,6.580,4.145
2.795,6.637,4.104
2.711,6.691,4.064
2.624,6.740,4.028
2.534,6.784,3.996
2.442,6.823,3.970
2.348,6.857,3.952
2.252,6.885,3.947
2.155,6.907,3.946
2.056,6.922,3.945
1.957,6.930,3.945
1.857,6.932,3.944
1.757,6.927,3.943
1.658,6.916,3.942
1.560,6.898,3.948
1.463,6.874,3.970
1.368,6.845,4.004
1.274,6.811,4.050
1.182,6.772,4.103
1.092,6.729,4.162
1.004,6.682,4.224
0.918,6.631,4.291
0.834,6.576,4.360
0.752,6.519,4.434
0.673,6.459,4.511
0.595,6.396,4.594
0.519,6.331,4.690
0.445,6.265,4.799
0.373,6.196,4.920
0.302,6.126,5.055
0.232,6.054,5.199
0.164,5.981,5.345
0.096,5.908,5.486
0.030,5.833,5.623
-0.036,5.758,5.757
-0.101,5.683,5.887
-0.166,5.607,6.013
-0.231,5.531,6.137
-0.296,5.455,6.258
-0.362,5.380,6.259
-0.427,5.305,6.103
-0.494,5.230,5.956
-0.561,5.156,5.819
-0.628,5.083,5.690
-0.697,5.010,5.569
-0.768,4.939,5.455
-0.839,4.870,5.348
-0.912,4.802,5.248
-0.987,4.735,5.154
-1.063,4.671,5.067
-1.141,4.609,4.987
-1.221,4.549,4.920
-1.303,4.491,4.867
-1.386,4.437,4.829
-1.472,4.386,4.807
-1.560,4.338,4.793
-1.649,4.294,4.787
-1.741,4.253,4.784
-1.834,4.217,4.795
-1.928,4.184,4.821
-2.023,4.154,4.862
-2.119,4.128,4.917
-2.216,4.105,4.986
-2.314,4.085,5.070
