# x_m, y_m, v_mps
-4.086,-0.389,4.855
-4.006,-0.407,4.872
-3.926,-0.422,4.891
-3.844,-0.434,4.911
-3.762,-0.443,4.931
-3.678,-0.450,4.954
-3.594,-0.454,4.977
-3.509,-0.456,5.002
-3.424,-0.455,5.029
-3.338,-0.451,5.057
-3.252,-0.446,5.086
-3.165,-0.438,5.118
-3.078,-0.427,5.151
-2.991,-0.415,5.186
-2.904,-0.401,5.223
-2.816,-0.384,5.262
-2.729,-0.366,5.303
-2.641,-0.346,5.346
-2.553,-0.323,5.391
-2.466,-0.300,5.439
-2.378,-0.274,5.489
-2.290,-0.247,5.540
-2.203,-0.219,5.594
-2.115,-0.189,5.650
-2.027,-0.158,5.709
-1.939,-0.125,5.769
-1.851,-0.092,5.831
-1.763,-0.057,5.895
-1.675,-0.021,5.960
-1.587,0.016,6.027
-1.499,0.053,6.095
-1.411,0.092,6.165
-1.323,0.131,6.236
-1.234,0.171,6.308
-1.145,0.211,6.380
-1.056,0.252,6.453
-0.967,0.294,6.526
-0.877,0.336,6.599
-0.787,0.378,6.672
-0.697,0.420,6.744
-0.607,0.463,6.816
-0.516,0.505,6.886
-0.426,0.547,6.955
-0.336,0.590,7.000
-0.246,0.632,7.000
-0.155,0.674,7.000
