# x_m, y_m, v_mps
-4.547,-1.298,6.004
-4.434,-1.332,6.019
-4.320,-1.361,6.035
-4.205,-1.387,6.052
-4.089,-1.408,6.069
-3.973,-1.425,6.088
-3.858,-1.439,6.108
-3.742,-1.448,6.130
-3.627,-1.453,6.153
-3.513,-1.456,6.177
-3.399,-1.454,6.204
-3.285,-1.450,6.232
-3.173,-1.442,6.263
-3.061,-1.432,6.295
-2.949,-1.419,6.330
-2.839,-1.403,6.368
-2.730,-1.385,6.408
-2.621,-1.365,6.451
-2.513,-1.342,6.496
-2.407,-1.318,6.544
-2.301,-1.291,6.595
-2.196,-1.263,6.649
-2.092,-1.233,6.705
-1.989,-1.201,6.765
-1.887,-1.168,6.827
-1.786,-1.134,6.892
-1.686,-1.098,6.960
-1.587,-1.061,7.000
-1.488,-1.024,7.000
-1.391,-0.985,7.000
-1.294,-0.946,7.000
-1.198,-0.905,7.000
-1.103,-0.865,7.000
-1.008,-0.823,7.000
-0.914,-0.782,7.000
-0.821,-0.740,7.000
-0.728,-0.698,7.000
-0.636,-0.655,7.000
-0.545,-0.613,7.000
-0.454,-0.570,7.000
-0.363,-0.528,7.000
-0.273,-0.485,7.000
-0.182,-0.443,7.000
-0.092,-0.401,7.000
-0.002,-0.358,7.000
0.089,-0.316,7.000
0.179,-0.274,7.000
0.269,-0.231,7.000
