5.175,4.521,4.138
4.978,4.548,4.236
4.779,4.558,4.350
4.579,4.554,4.477
4.381,4.535,4.615
4.184,4.505,4.765
3.989,4.465,4.925
3.796,4.415,5.097
3.605,4.358,5.282
3.416,4.295,5.477
3.229,4.227,5.664
3.043,4.155,5.845
2.858,4.081,6.020
2.673,4.005,6.191
2.489,3.930,6.356
2.304,3.856,6.374
2.118,3.783,6.165
1.931,3.715,5.980
1.742,3.651,5.816
1.551,3.593,5.676
1.359,3.542,5.558
1.164,3.499,5.466
0.967,3.466,5.401
0.769,3.445,5.369
0.570,3.436,5.366
0.371,3.440,5.364
0.172,3.458,5.392
-0.025,3.486,5.456
-0.220,3.524,5.550
-0.414,3.570,5.670
-0.606,3.623,5.815
-0.797,3.682,5.983
-0.986,3.744,6.154
-1.174,3.810,6.321
-1.362,3.878,6.483
-1.549,3.946,6.207
-1.736,4.014,5.939
-1.925,4.079,5.693
-2.114,4.141,5.466
-2.305,4.199,5.257
-2.498,4.250,5.063
-2.692,4.294,4.884
-2.888,4.328,4.718
-3.086,4.352,4.564
-3.285,4.364,4.423
-3.484,4.361,4.297
-3.683,4.343,4.186
-3.879,4.308,4.094
-4.071,4.254,4.027
-4.255,4.180,3.992
-4.431,4.085,3.991
-4.592,3.969,3.989
-4.739,3.834,4.000
-4.870,3.684,4.042
-4.983,3.520,4.100
-5.080,3.346,4.172
-5.160,3.163,4.253
-5.223,2.974,4.339
-5.270,2.781,4.430
-5.302,2.584,4.521
-5.318,2.385,4.614
-5.320,2.186,4.708
-5.308,1.987,4.808
-5.284,1.789,4.905
-5.246,1.594,4.990
-5.196,1.401,5.065
-5.134,1.212,5.131
-5.059,1.027,5.187
-4.973,0.847,5.234
-4.876,0.673,5.271
-4.767,0.506,5.302
-4.647,0.347,5.324
-4.517,0.196,5.338
-4.377,0.054,5.341
-4.228,-0.078,5.346
-4.070,-0.200,5.375
-3.906,-0.313,5.426
-3.736,-0.416,5.489
-3.560,-0.510,5.562
-3.380,-0.596,5.645
-3.196,-0.673,5.734
-3.009,-0.742,5.830
-2.820,-0.803,5.932
-2.628,-0.857,6.038
-2.434,-0.905,6.150
-2.239,-0.946,6.267
-2.043,-0.981,6.389
-1.846,-1.010,6.517
-1.648,-1.034,6.649
-1.450,-1.054,6.788
-1.251,-1.069,6.932
-1.052,-1.081,7.080
-0.853,-1.089,7.225
-0.654,-1.094,7.366
-0.454,-1.097,7.505
-0.255,-1.097,7.641
-0.056,-1.096,7.775
0.144,-1.094,7.906
0.343,-1.091,8.000
0.542,-1.088,8.000
0.741,-1.084,8.000
0.941,-1.081,8.000
1.140,-1.079,8.000
1.339,-1.076,8.000
1.539,-1.073,8.000
1.738,-1.068,7.864
1.937,-1.062,7.686
2.136,-1.054,7.520
2.335,-1.043,7.364
2.534,-1.029,7.213
2.733,-1.012,7.067
2.931,-0.991,6.926
3.128,-0.965,6.789
3.326,-0.935,6.656
3.522,-0.900,6.526
3.717,-0.859,6.400
3.911,-0.813,6.278
4.103,-0.761,6.158
4.294,-0.702,6.042
4.482,-0.637,5.928
4.668,-0.565,5.817
4.850,-0.485,5.709
5.029,-0.398,5.607
5.204,-0.302,5.512
5.374,-0.198,5.424
5.539,-0.086,5.345
5.697,0.036,5.277
5.847,0.167,5.223
5.989,0.306,5.185
6.121,0.456,5.176
6.242,0.614,5.174
6.351,0.781,5.172
6.448,0.955,5.183
6.533,1.135,5.202
6.604,1.321,5.173
6.664,1.511,5.132
6.711,1.705,5.073
6.746,1.901,4.996
6.768,2.099,4.911
6.778,2.298,4.833
6.774,2.498,4.754
6.755,2.696,4.672
6.722,2.892,4.590
6.674,3.086,4.506
6.611,3.275,4.422
6.532,3.458,4.337
6.437,3.633,4.256
6.327,3.799,4.180
6.202,3.954,4.114
6.061,4.095,4.063
5.906,4.220,4.039
5.738,4.327,4.037
5.558,4.412,4.035
5.369,4.477,4.068
