-0.016,-0.583,4.662
0.083,-0.575,4.661
0.183,-0.569,4.660
0.282,-0.568,4.659
0.382,-0.569,4.658
0.482,-0.574,4.657
0.581,-0.582,4.667
0.680,-0.593,4.684
0.779,-0.607,4.708
0.878,-0.624,4.739
0.976,-0.643,4.775
1.073,-0.664,4.817
1.170,-0.687,4.863
1.266,-0.713,4.914
1.362,-0.741,4.968
1.458,-0.770,5.027
1.552,-0.801,5.089
1.647,-0.833,5.154
1.741,-0.868,5.223
1.834,-0.903,5.295
1.927,-0.939,5.370
2.019,-0.977,5.449
2.111,-1.016,5.532
2.203,-1.055,5.619
2.294,-1.096,5.710
2.385,-1.137,5.805
2.476,-1.178,5.906
2.566,-1.220,6.012
2.656,-1.263,6.123
2.747,-1.305,6.241
2.837,-1.348,6.347
2.927,-1.391,6.209
3.017,-1.433,6.078
3.107,-1.476,5.954
3.198,-1.518,5.835
3.288,-1.560,5.723
3.379,-1.602,5.615
3.470,-1.642,5.511
3.561,-1.683,5.411
3.653,-1.722,5.315
3.745,-1.760,5.223
3.838,-1.798,5.133
3.931,-1.834,5.046
4.024,-1.868,4.962
4.118,-1.902,4.881
4.213,-1.934,4.802
4.308,-1.964,4.725
4.403,-1.992,4.650
4.500,-2.018,4.578
4.596,-2.043,4.507
4.694,-2.065,4.438
4.792,-2.084,4.372
4.890,-2.101,4.309
4.989,-2.116,4.249
5.088,-2.127,4.193
5.187,-2.136,4.139
5.287,-2.141,4.088
5.387,-2.142,4.041
5.486,-2.141,3.997
5.586,-2.135,3.956
5.685,-2.125,3.920
5.784,-2.112,3.889
5.882,-2.094,3.863
5.979,-2.071,3.844
6.075,-2.044,3.832
6.170,-2.013,3.829
6.263,-1.976,3.828
6.354,-1.935,3.827
6.442,-1.889,3.826
6.528,-1.838,3.825
6.611,-1.783,3.824
6.691,-1.723,3.823
6.768,-1.660,3.826
6.842,-1.592,3.834
6.912,-1.521,3.847
6.979,-1.447,3.864
7.042,-1.370,3.884
7.102,-1.290,3.907
7.158,-1.208,3.933
7.211,-1.123,3.961
7.260,-1.037,3.991
7.306,-0.948,4.022
7.348,-0.858,4.055
7.387,-0.766,4.090
7.422,-0.672,4.126
7.454,-0.578,4.163
7.483,-0.482,4.200
7.508,-0.386,4.239
7.530,-0.288,4.279
7.549,-0.190,4.318
7.565,-0.092,4.357
7.577,0.007,4.395
7.587,0.106,4.432
7.594,0.206,4.466
7.597,0.305,4.497
7.598,0.405,4.525
7.596,0.505,4.551
7.590,0.605,4.576
7.582,0.704,4.599
7.570,0.803,4.619
7.556,0.902,4.638
7.538,1.000,4.654
7.518,1.098,4.670
7.494,1.195,4.684
7.468,1.291,4.697
7.439,1.386,4.687
7.407,1.481,4.673
7.372,1.574,4.659
7.334,1.667,4.644
7.294,1.758,4.629
7.250,1.848,4.613
7.204,1.936,4.598
7.155,2.023,4.581
7.104,2.108,4.565
7.049,2.192,4.549
6.992,2.274,4.534
6.933,2.354,4.518
6.870,2.432,4.504
6.806,2.508,4.490
6.738,2.581,4.477
6.669,2.653,4.466
6.596,2.722,4.458
6.522,2.788,4.456
6.445,2.851,4.455
6.366,2.912,4.454
6.284,2.970,4.453
6.201,3.024,4.452
6.115,3.075,4.451
6.027,3.123,4.452
5.938,3.168,4.463
5.848,3.210,4.482
5.756,3.249,4.508
5.663,3.286,4.539
5.569,3.320,4.575
5.475,3.351,4.615
5.379,3.380,4.660
5.283,3.406,4.707
5.186,3.430,4.756
5.089,3.452,4.808
4.991,3.472,4.862
4.893,3.490,4.919
4.794,3.506,4.979
4.696,3.520,5.040
4.597,3.532,5.104
4.498,3.543,5.170
4.398,3.553,5.239
4.299,3.560,5.309
4.199,3.567,5.383
4.100,3.572,5.459
4.000,3.577,5.539
3.900,3.580,5.621
3.800,3.582,5.707
3.701,3.584,5.797
3.601,3.585,5.890
3.501,3.585,5.986
3.401,3.585,6.084
3.302,3.584,6.181
3.202,3.583,6.276
3.102,3.581,6.370
3.002,3.578,6.463
2.903,3.576,6.556
2.803,3.573,6.647
2.703,3.569,6.737
2.603,3.565,6.827
2.504,3.561,6.916
2.404,3.557,7.006
2.304,3.552,7.096
2.205,3.547,7.186
2.105,3.542,7.277
2.006,3.536,7.370
1.906,3.530,7.463
1.806,3.525,7.557
1.707,3.519,7.653
1.607,3.512,7.750
1.508,3.506,7.849
1.408,3.500,7.949
1.308,3.493,8.000
1.209,3.487,8.000
1.109,3.481,8.000
1.010,3.474,8.000
