# x_m, y_m, v_mps
-7.776,-1.609,4.620
-7.732,-1.617,4.634
-7.689,-1.623,4.647
-7.645,-1.629,4.661
-7.601,-1.635,4.675
-7.557,-1.640,4.689
-7.512,-1.645,4.704
-7.468,-1.649,4.720
-7.423,-1.652,4.735
-7.378,-1.655,4.751
-7.333,-1.658,4.767
-7.288,-1.660,4.784
-7.243,-1.662,4.801
-7.198,-1.663,4.819
-7.152,-1.663,4.837
-7.107,-1.664,4.856
-7.061,-1.663,4.875
-7.016,-1.663,4.894
-6.970,-1.662,4.914
-6.924,-1.660,4.934
-6.878,-1.658,4.955
-6.832,-1.656,4.977
-6.786,-1.653,4.999
-6.740,-1.650,5.021
-6.694,-1.646,5.044
-6.648,-1.642,5.067
-6.602,-1.638,5.091
-6.555,-1.633,5.115
-6.509,-1.628,5.140
-6.463,-1.622,5.165
-6.416,-1.617,5.191
-6.370,-1.611,5.217
-6.323,-1.604,5.244
-6.277,-1.597,5.271
-6.230,-1.590,5.298
-6.183,-1.583,5.326
-6.137,-1.575,5.355
-6.090,-1.567,5.384
-6.043,-1.559,5.413
-5.996,-1.551,5.443
-5.949,-1.542,5.473
-5.903,-1.533,5.504
-5.856,-1.524,5.534
-5.809,-1.514,5.566
-5.762,-1.504,5.597
-5.715,-1.495,5.629
-5.667,-1.484,5.662
-5.620,-1.474,5.694
-5.573,-1.464,5.727
-5.526,-1.453,5.761
-5.479,-1.442,5.794
-5.431,-1.431,5.828
-5.384,-1.420,5.863
-5.336,-1.408,5.897
-5.289,-1.397,5.932
-5.241,-1.385,5.967
-5.194,-1.373,6.002
-5.146,-1.361,6.037
-5.098,-1.349,6.073
-5.051,-1.337,6.108
-5.003,-1.325,6.144
-4.955,-1.313,6.180
-4.907,-1.301,6.217
-4.859,-1.288,6.253
-4.810,-1.276,6.289
-4.762,-1.263,6.326
-4.714,-1.251,6.363
-4.666,-1.238,6.399
-4.617,-1.226,6.436
-4.569,-1.213,6.473
-4.521,-1.201,6.510
-4.472,-1.188,6.546
-4.424,-1.175,6.583
-4.375,-1.163,6.620
-4.327,-1.150,6.657
-4.278,-1.138,6.694
-4.230,-1.125,6.730
-4.181,-1.113,6.767
-4.133,-1.100,6.803
-4.085,-1.088,6.839
-4.037,-1.075,6.875
-3.988,-1.063,6.911
-3.940,-1.050,6.946
-3.892,-1.038,6.981
-3.844,-1.025,7.016
-3.796,-1.013,7.050
-3.749,-1.000,7.084
-3.701,-0.987,7.118
-3.653,-0.975,7.151
-3.605,-0.962,7.184
-3.558,-0.949,7.216
-3.510,-0.936,7.212
-3.462,-0.923,7.178
-3.414,-0.910,7.144
-3.367,-0.897,7.110
-3.319,-0.884,7.075
-3.271,-0.871,7.040
-3.223,-0.857,7.005
-3.175,-0.844,6.970
-3.127,-0.831,6.934
-3.080,-0.818,6.898
-3.032,-0.804,6.862
-2.984,-0.791,6.826
-2.936,-0.777,6.790
-2.888,-0.764,6.754
-2.840,-0.750,6.717
-2.792,-0.737,6.681
-2.745,-0.723,6.645
-2.697,-0.710,6.609
-2.649,-0.696,6.572
-2.601,-0.682,6.536
-2.553,-0.669,6.500
-2.506,-0.655,6.465
-2.458,-0.641,6.429
-2.410,-0.628,6.393
-2.363,-0.614,6.358
-2.315,-0.600,6.322
-2.268,-0.586,6.287
-2.221,-0.572,6.252
-2.173,-0.558,6.217
-2.126,-0.544,6.183
-2.079,-0.530,6.148
-2.032,-0.516,6.114
-1.985,-0.502,6.080
-1.939,-0.488,6.046
-1.892,-0.473,6.013
-1.845,-0.459,5.979
-1.799,-0.444,5.946
-1.753,-0.429,5.913
-1.706,-0.414,5.881
-1.660,-0.399,5.848
-1.614,-0.384,5.816
-1.569,-0.369,5.784
-1.523,-0.354,5.753
-1.477,-0.338,5.722
-1.432,-0.322,5.691
-1.387,-0.306,5.660
-1.342,-0.290,5.630
-1.297,-0.274,5.600
-1.252,-0.257,5.571
-1.207,-0.241,5.541
-1.162,-0.224,5.512
-1.118,-0.207,5.484
-1.074,-0.190,5.456
-1.030,-0.172,5.428
-0.986,-0.154,5.401
-0.942,-0.136,5.374
-0.899,-0.118,5.347
-0.856,-0.100,5.321
-0.813,-0.081,5.295
-0.770,-0.062,5.270
-0.727,-0.043,5.245
-0.685,-0.023,5.220
-0.642,-0.003,5.196
-0.600,0.017,5.172
-0.558,0.037,5.149
-0.517,0.058,5.126
-0.475,0.079,5.103
-0.434,0.100,5.081
-0.393,0.121,5.060
-0.353,0.143,5.038
-0.313,0.165,5.018
-0.273,0.188,4.997
-0.233,0.211,4.978
-0.193,0.234,4.958
-0.154,0.257,4.939
-0.116,0.281,4.921
-0.077,0.305,4.902
-0.039,0.330,4.885
-0.001,0.354,4.867
0.037,0.380,4.850
0.074,0.405,4.834
0.111,0.431,4.818
0.147,0.457,4.802
0.183,0.484,4.786
0.219,0.511,4.771
0.254,0.538,4.756
0.289,0.566,4.742
0.324,0.594,4.728
0.358,0.622,4.714
0.392,0.651,4.700
0.426,0.680,4.687
0.459,0.710,4.674
0.491,0.740,4.661
0.523,0.770,4.649
0.555,0.801,4.636
0.586,0.832,4.624
0.616,0.863,4.613
0.646,0.894,4.601
0.676,0.926,4.590
0.704,0.958,4.579
0.733,0.991,4.569
0.760,1.023,4.558
0.787,1.057,4.548
0.813,1.090,4.538
0.839,1.123,4.528
0.863,1.157,4.519
0.887,1.192,4.510
0.911,1.226,4.501
0.934,1.261,4.492
0.956,1.296,4.483
0.977,1.332,4.474
0.998,1.369,4.466
1.018,1.406,4.457
1.038,1.443,4.449
1.057,1.480,4.441
1.076,1.519,4.433
1.094,1.557,4.425
1.111,1.596,4.417
1.127,1.635,4.410
1.143,1.674,4.402
1.159,1.714,4.395
1.173,1.753,4.388
1.187,1.794,4.381
1.201,1.834,4.374
1.213,1.875,4.367
1.225,1.916,4.360
1.237,1.957,4.354
1.247,1.998,4.347
1.257,2.039,4.341
1.267,2.081,4.335
1.275,2.123,4.329
1.283,2.165,4.323
1.290,2.207,4.317
1.297,2.249,4.311
1.303,2.291,4.306
1.308,2.334,4.300
1.313,2.376,4.295
1.317,2.419,4.290
1.320,2.462,4.285
1.323,2.504,4.280
1.324,2.547,4.275
1.326,2.590,4.271
1.326,2.633,4.267
1.326,2.675,4.263
1.325,2.718,4.259
1.323,2.761,4.255
1.321,2.804,4.252
1.318,2.846,4.248
1.315,2.889,4.246
1.310,2.931,4.243
1.305,2.974,4.241
1.300,3.016,4.240
1.293,3.058,4.239
1.286,3.100,4.238
1.278,3.142,4.238
1.270,3.184,4.237
1.261,3.225,4.237
1.251,3.267,4.236
1.241,3.308,4.236
1.229,3.349,4.236
1.218,3.390,4.235
1.205,3.430,4.235
1.192,3.470,4.234
1.178,3.510,4.234
1.164,3.550,4.234
1.149,3.589,4.233
1.133,3.628,4.233
1.116,3.667,4.232
1.099,3.705,4.232
1.081,3.744,4.232
1.063,3.781,4.231
1.044,3.818,4.231
1.024,3.855,4.230
1.004,3.892,4.230
0.983,3.928,4.230
0.961,3.963,4.229
0.939,3.998,4.229
0.916,4.033,4.228
0.893,4.067,4.228
0.868,4.101,4.228
0.844,4.134,4.227
0.819,4.166,4.227
0.793,4.198,4.227
0.766,4.229,4.226
0.739,4.260,4.226
0.712,4.290,4.225
0.684,4.319,4.225
0.655,4.348,4.225
0.626,4.376,4.224
0.596,4.403,4.224
0.566,4.430,4.223
0.536,4.456,4.223
0.505,4.481,4.223
0.473,4.505,4.222
0.441,4.528,4.222
0.409,4.551,4.222
0.376,4.573,4.221
0.343,4.594,4.221
0.310,4.614,4.221
0.276,4.633,4.220
0.242,4.651,4.220
0.208,4.668,4.219
0.173,4.684,4.219
0.138,4.699,4.219
0.103,4.713,4.218
0.068,4.727,4.218
0.033,4.739,4.218
-0.002,4.749,4.217
-0.038,4.759,4.217
-0.073,4.768,4.217
-0.108,4.775,4.216
-0.144,4.782,4.216
-0.179,4.787,4.216
-0.215,4.791,4.215
-0.251,4.794,4.215
-0.288,4.796,4.215
-0.325,4.797,4.214
-0.362,4.797,4.214
-0.400,4.796,4.214
-0.438,4.794,4.213
-0.477,4.791,4.213
-0.515,4.786,4.212
-0.554,4.781,4.212
-0.593,4.775,4.212
-0.632,4.768,4.211
-0.671,4.760,4.211
-0.710,4.751,4.211
-0.749,4.741,4.210
-0.788,4.731,4.210
-0.827,4.719,4.211
-0.866,4.707,4.214
-0.905,4.694,4.217
-0.944,4.679,4.222
-0.982,4.665,4.228
-1.021,4.649,4.235
-1.059,4.632,4.244
-1.098,4.615,4.253
-1.136,4.597,4.264
-1.174,4.579,4.276
-1.212,4.559,4.289
-1.250,4.539,4.304
-1.287,4.518,4.319
-1.325,4.497,4.336
-1.362,4.475,4.355
-1.399,4.452,4.374
-1.436,4.428,4.395
-1.473,4.404,4.417
-1.510,4.380,4.440
-1.546,4.355,4.465
-1.583,4.329,4.491
-1.619,4.303,4.518
-1.655,4.276,4.547
-1.691,4.249,4.577
-1.727,4.221,4.608
-1.762,4.193,4.641
-1.798,4.164,4.676
-1.833,4.135,4.712
-1.869,4.105,4.750
-1.904,4.075,4.789
-1.939,4.045,4.829
-1.974,4.014,4.872
-2.008,3.983,4.916
-2.043,3.951,4.961
-2.078,3.919,5.009
-2.112,3.887,5.058
-2.147,3.854,5.107
-2.182,3.821,5.155
-2.216,3.788,5.203
-2.251,3.755,5.251
-2.286,3.721,5.299
-2.320,3.687,5.346
-2.355,3.652,5.393
-2.390,3.618,5.440
-2.425,3.583,5.486
-2.459,3.548,5.532
-2.495,3.513,5.578
-2.530,3.478,5.624
-2.565,3.442,5.669
-2.601,3.407,5.714
-2.636,3.371,5.759
-2.672,3.335,5.803
-2.709,3.299,5.848
-2.745,3.263,5.892
-2.782,3.227,5.936
-2.819,3.191,5.979
-2.856,3.155,6.020
-2.894,3.119,6.057
-2.932,3.083,6.091
-2.970,3.047,6.120
-3.009,3.011,6.146
-3.048,2.975,6.168
-3.088,2.939,6.186
-3.128,2.904,6.201
-3.168,2.869,6.213
-3.209,2.833,6.222
-3.251,2.799,6.228
-3.293,2.764,6.231
-3.335,2.730,6.231
-3.378,2.696,6.231
-3.422,2.662,6.230
-3.466,2.629,6.229
-3.510,2.596,6.228
-3.556,2.563,6.228
-3.602,2.531,6.227
-3.648,2.500,6.226
-3.695,2.469,6.225
-3.743,2.438,6.224
-3.791,2.408,6.224
-3.840,2.379,6.223
-3.890,2.351,6.222
-3.940,2.323,6.221
-3.991,2.296,6.220
-4.043,2.269,6.220
-4.095,2.244,6.219
-4.148,2.219,6.218
-4.201,2.196,6.217
-4.255,2.173,6.216
-4.310,2.151,6.216
-4.366,2.131,6.215
-4.422,2.111,6.214
-4.478,2.093,6.213
-4.536,2.075,6.212
-4.593,2.059,6.211
-4.651,2.045,6.211
-4.709,2.031,6.210
-4.767,2.019,6.209
-4.825,2.008,6.208
-4.884,1.998,6.207
-4.942,1.989,6.207
-5.000,1.982,6.206
-5.058,1.976,6.205
-5.115,1.970,6.204
-5.173,1.966,6.203
-5.230,1.963,6.203
-5.288,1.961,6.202
-5.345,1.959,6.201
-5.402,1.959,6.200
-5.458,1.959,6.199
-5.514,1.961,6.199
-5.571,1.963,6.198
-5.626,1.965,6.197
-5.682,1.969,6.196
-5.737,1.973,6.196
-5.792,1.977,6.195
-5.847,1.983,6.194
-5.902,1.989,6.193
-5.956,1.995,6.195
-6.010,2.002,6.199
-6.063,2.010,6.206
-6.117,2.018,6.216
-6.170,2.026,6.227
-6.222,2.035,6.240
-6.275,2.044,6.222
-6.327,2.053,6.201
-6.379,2.063,6.175
-6.431,2.073,6.145
