# x_m, y_m, v_mps
-2.397,-0.356,5.230
-2.304,-0.363,5.285
-2.210,-0.369,5.341
-2.116,-0.374,5.400
-2.021,-0.377,5.461
-1.926,-0.380,5.523
-1.830,-0.382,5.588
-1.734,-0.384,5.654
-1.637,-0.385,5.723
-1.540,-0.385,5.793
-1.443,-0.384,5.864
-1.345,-0.383,5.938
-1.246,-0.382,6.013
-1.148,-0.381,6.089
-1.049,-0.379,6.167
-0.949,-0.378,6.246
-0.850,-0.376,6.326
-0.751,-0.374,6.408
-0.652,-0.372,6.488
-0.552,-0.369,6.567
-0.453,-0.367,6.645
-0.354,-0.365,6.722
-0.255,-0.362,6.799
-0.156,-0.359,6.874
-0.056,-0.356,6.949
0.043,-0.353,7.000
0.142,-0.350,7.000
0.242,-0.347,7.000
0.342,-0.344,7.000
0.441,-0.341,7.000
0.541,-0.338,7.000
0.641,-0.335,7.000
0.741,-0.331,7.000
0.841,-0.328,7.000
0.941,-0.325,7.000
1.041,-0.322,7.000
1.142,-0.319,7.000
1.242,-0.316,7.000
1.342,-0.314,7.000
1.442,-0.311,7.000
1.542,-0.308,7.000
1.643,-0.306,7.000
1.743,-0.303,6.974
1.843,-0.301,6.882
1.944,-0.299,6.792
2.044,-0.296,6.701
2.145,-0.294,6.612
2.245,-0.293,6.523
2.346,-0.291,6.436
2.447,-0.289,6.349
2.547,-0.288,6.263
2.647,-0.287,6.179
2.747,-0.285,6.097
2.847,-0.284,6.016
2.945,-0.283,5.937
3.043,-0.281,5.859
3.141,-0.279,5.784
3.238,-0.276,5.711
3.334,-0.273,5.639
3.430,-0.269,5.570
3.525,-0.264,5.503
3.619,-0.258,5.438
3.713,-0.252,5.375
3.807,-0.244,5.315
3.900,-0.235,5.257
3.992,-0.225,5.201
4.083,-0.214,5.148
4.174,-0.201,5.097
4.264,-0.187,5.048
4.354,-0.171,5.002
4.442,-0.154,4.958
4.530,-0.135,4.916
4.616,-0.114,4.877
4.702,-0.092,4.839
4.786,-0.068,4.804
4.870,-0.042,4.770
4.952,-0.013,4.739
5.033,0.017,4.709
5.112,0.049,4.681
5.190,0.083,4.655
5.266,0.119,4.630
5.341,0.157,4.607
5.413,0.198,4.586
5.483,0.240,4.565
5.552,0.285,4.547
5.618,0.332,4.529
5.682,0.381,4.512
5.743,0.432,4.497
5.803,0.486,4.482
5.861,0.542,4.468
5.917,0.601,4.455
