# x_m, y_m, vx_mps, d_m, s_m, kappa_radpm, psi_rad, ax_mps2
-0.195220,-8.018211,4.710268,0.873491,7.185193,0.330680,-0.410153,-0.049296
-0.083938,-8.061983,4.709016,0.874568,7.284988,0.328082,-0.369949,-0.049274
0.028572,-8.101256,4.707769,0.875496,7.384782,0.325341,-0.330669,-0.049301
0.256538,-8.166581,4.705379,0.878647,7.484576,0.319521,-0.254556,0.032243
0.371636,-8.192773,4.706188,0.879935,7.584371,0.316504,-0.217658,0.103840
0.487293,-8.214753,4.708785,0.881085,7.684165,0.313397,-0.181492,0.170819
0.603326,-8.232590,4.713041,0.882111,7.783959,0.310238,-0.146025,0.232929
0.719594,-8.246358,4.718824,0.883026,7.883754,0.306959,-0.111225,0.292528
0.835992,-8.256138,4.726060,0.883841,7.983548,0.303518,-0.077078,0.351136
1.068569,-8.264028,4.744705,0.886140,8.083343,0.296380,-0.010622,0.460989
1.184515,-8.262297,4.755958,0.887255,8.183137,0.292804,0.021729,0.510113
1.300078,-8.256890,4.768350,0.888268,8.282931,0.289287,0.053551,0.554410
1.415183,-8.247886,4.781756,0.889184,8.382726,0.285876,0.084863,0.593263
1.529681,-8.235371,4.796024,0.890011,8.482520,0.282643,0.115711,0.625312
1.643527,-8.219423,4.810989,0.890757,8.582314,0.279606,0.146136,0.650719
1.756563,-8.200140,4.826474,0.891425,8.682109,0.276847,0.176154,0.667857
1.979979,-8.151919,4.858211,0.892999,8.781903,0.272172,0.235171,0.679395
2.090214,-8.123155,4.874117,0.893854,8.881697,0.270166,0.264237,0.677121
2.199428,-8.091384,4.889893,0.894591,8.981492,0.268331,0.293073,0.671218
2.307653,-8.056636,4.905470,0.895202,9.081286,0.266648,0.321689,0.662333
2.414797,-8.018966,4.920781,0.895680,9.181080,0.265096,0.350150,0.651190
2.520854,-7.978392,4.935785,0.896013,9.280875,0.263656,0.378469,0.638391
2.625833,-7.934905,4.950460,0.896188,9.380669,0.262323,0.406697,0.624074
2.729517,-7.888594,4.964755,0.896188,9.480463,0.261069,0.434880,0.609153
2.831998,-7.839405,4.978683,0.896000,9.580258,0.259905,0.463039,0.593215
3.032829,-7.732570,5.005337,0.895302,9.680052,0.257806,0.519514,0.556848
3.131155,-7.674873,5.018004,0.894746,9.779847,0.256845,0.547905,0.533384
3.227785,-7.614453,5.030103,0.893916,9.879641,0.255914,0.576468,0.511457
3.322814,-7.551223,5.041696,0.892795,9.979435,0.254994,0.605212,0.491354
3.416053,-7.485278,5.052813,0.891374,10.079230,0.254066,0.634189,0.473491
3.507459,-7.416608,5.063516,0.889634,10.179024,0.253103,0.663420,0.458496
3.597012,-7.345176,5.073877,0.887550,10.278818,0.252086,0.692888,0.446578
3.684458,-7.271129,5.083953,0.885101,10.378613,0.250989,0.722629,0.438380
3.853017,-7.114978,5.103633,0.878559,10.478407,0.248497,0.782675,0.433445
3.933854,-7.032992,5.113402,0.875140,10.578201,0.247088,0.812886,0.436558
4.012311,-6.948382,5.123244,0.871232,10.677996,0.245563,0.843118,0.443217
4.088175,-6.861296,5.133225,0.866810,10.777790,0.243928,0.873347,0.452967
4.161434,-6.771662,5.143431,0.861829,10.877584,0.242171,0.903509,0.465973
4.231905,-6.679601,5.153923,0.856256,10.977379,0.240296,0.933561,0.481904
4.299439,-6.585241,5.164762,0.850032,11.077173,0.238299,0.963464,0.500742
4.363963,-6.488624,5.176014,0.843081,11.176967,0.236162,0.993140,0.522819
4.483093,-6.290185,5.199899,0.825350,11.276762,0.231475,1.051671,0.576450
4.537679,-6.188818,5.212646,0.816460,11.376556,0.228902,1.080409,0.608511
4.588993,-6.086287,5.226014,0.806912,11.476351,0.226171,1.108736,0.644095
4.637118,-5.982723,5.240070,0.796755,11.576145,0.223256,1.136577,0.683960
4.682135,-5.878264,5.254895,0.786034,11.675939,0.220166,1.163895,0.727653
4.724131,-5.773024,5.270562,0.774795,11.775734,0.216885,1.190623,0.775705
4.763193,-5.667109,5.287151,0.763078,11.875528,0.213410,1.216698,0.828111
4.799405,-5.560624,5.304738,0.750926,11.975322,0.209751,1.242076,0.884539
4.832853,-5.453670,5.323391,0.738379,12.075117,0.205891,1.266670,0.945630
4.863630,-5.346318,5.343192,0.725469,12.174911,0.201859,1.290464,1.010452
