# x_m, y_m, v_mps
-6.427,-0.471,5.126
-6.382,-0.539,5.125
-6.335,-0.606,5.124
-6.286,-0.670,5.123
-6.234,-0.731,5.122
-6.181,-0.790,5.121
-6.126,-0.846,5.121
-6.069,-0.899,5.120
-6.010,-0.949,5.119
-5.949,-0.996,5.118
-5.887,-1.040,5.118
-5.824,-1.080,5.117
-5.760,-1.116,5.116
-5.694,-1.148,5.115
-5.626,-1.177,5.114
-5.557,-1.203,5.113
-5.485,-1.225,5.113
-5.412,-1.244,5.112
-5.336,-1.260,5.111
-5.259,-1.273,5.110
-5.181,-1.282,5.109
-5.102,-1.288,5.108
-5.022,-1.291,5.107
-4.940,-1.291,5.106
-4.858,-1.287,5.110
-4.776,-1.281,5.118
-4.692,-1.272,5.130
-4.608,-1.261,5.147
-4.524,-1.246,5.169
-4.440,-1.230,5.195
-4.355,-1.210,5.226
-4.270,-1.189,5.262
-4.184,-1.165,5.302
-4.099,-1.139,5.347
-4.013,-1.111,5.397
-3.927,-1.082,5.452
-3.841,-1.050,5.511
-3.754,-1.017,5.575
-3.668,-0.983,5.644
-3.581,-0.947,5.718
-3.495,-0.910,5.797
-3.408,-0.872,5.881
-3.321,-0.832,5.965
-3.233,-0.792,6.049
-3.145,-0.750,6.132
-3.057,-0.709,6.214
-2.969,-0.666,6.296
-2.880,-0.623,6.377
-2.790,-0.579,6.458
-2.701,-0.535,6.538
-2.610,-0.491,6.618
-2.519,-0.447,6.697
-2.427,-0.403,6.775
-2.335,-0.359,6.853
-2.242,-0.315,6.931
-2.148,-0.272,7.000
-2.053,-0.229,7.000
-1.958,-0.187,7.000
-1.861,-0.145,7.000
-1.764,-0.105,7.000
-1.665,-0.065,7.000
-1.566,-0.026,7.000
-1.465,0.011,7.000
-1.364,0.048,7.000
-1.261,0.082,7.000
-1.157,0.115,7.000
-1.052,0.147,7.000
-0.945,0.176,7.000
-0.838,0.203,7.000
-0.729,0.228,7.000
-0.619,0.250,7.000
-0.508,0.270,7.000
-0.396,0.287,7.000
-0.283,0.301,7.000
-0.168,0.311,7.000
-0.053,0.319,7.000
0.063,0.322,7.000
0.179,0.322,7.000
0.296,0.318,7.000
0.412,0.310,7.000
0.527,0.298,7.000
0.641,0.284,7.000
0.753,0.266,7.000
0.864,0.245,7.000
0.973,0.222,7.000
1.081,0.196,7.000
1.188,0.168,7.000
1.293,0.139,7.000
1.398,0.107,7.000
1.501,0.074,7.000
1.604,0.039,7.000
1.705,0.003,7.000
1.805,-0.035,7.000
1.905,-0.074,7.000
2.003,-0.114,7.000
2.101,-0.155,7.000
2.197,-0.196,7.000
2.293,-0.239,7.000
2.388,-0.282,7.000
2.482,-0.326,7.000
2.575,-0.370,7.000
2.667,-0.414,7.000
2.759,-0.459,7.000
2.850,-0.504,7.000
2.941,-0.548,7.000
3.031,-0.593,7.000
3.120,-0.637,6.956
3.210,-0.682,6.838
3.298,-0.725,6.726
3.387,-0.769,6.620
3.475,-0.812,6.520
3.562,-0.854,6.425
3.650,-0.895,6.336
3.737,-0.936,6.252
3.824,-0.976,6.173
3.911,-1.014,6.098
3.998,-1.052,6.029
4.085,-1.089,5.965
4.172,-1.124,5.906
4.258,-1.158,5.853
4.345,-1.190,5.805
4.431,-1.221,5.763
4.518,-1.250,5.727
4.604,-1.277,5.698
4.690,-1.303,5.674
4.776,-1.326,5.657
4.863,-1.348,5.647
4.948,-1.367,5.643
5.034,-1.384,5.642
5.120,-1.399,5.641
5.205,-1.411,5.640
5.290,-1.421,5.639
5.374,-1.429,5.638
5.458,-1.433,5.637
5.541,-1.435,5.636
5.623,-1.434,5.635
5.704,-1.430,5.634
