# x_m, y_m, v_mps
-0.579,-0.979,4.677
-0.471,-0.983,4.701
-0.362,-0.985,4.726
-0.253,-0.985,4.750
-0.145,-0.982,4.775
-0.036,-0.976,4.800
0.072,-0.968,4.824
0.180,-0.958,4.849
0.287,-0.946,4.874
0.393,-0.931,4.899
0.498,-0.915,4.923
0.603,-0.897,4.948
0.708,-0.878,4.972
0.813,-0.856,4.997
0.917,-0.833,5.021
1.021,-0.807,5.046
1.124,-0.780,5.071
1.227,-0.752,5.096
1.329,-0.721,5.120
1.430,-0.689,5.145
1.531,-0.655,5.169
1.631,-0.620,5.193
1.730,-0.583,5.216
1.829,-0.545,5.239
1.927,-0.505,5.261
2.024,-0.464,5.282
2.121,-0.421,5.303
2.217,-0.377,5.322
2.312,-0.332,5.341
2.407,-0.285,5.360
2.500,-0.237,5.377
2.593,-0.188,5.393
2.686,-0.138,5.409
2.777,-0.086,5.424
2.869,-0.033,5.438
2.959,0.021,5.450
3.048,0.077,5.462
3.137,0.133,5.473
3.225,0.191,5.483
3.312,0.250,5.492
3.398,0.310,5.500
3.484,0.372,5.504
3.569,0.435,5.495
3.653,0.499,5.486
3.736,0.565,5.475
3.819,0.632,5.465
3.900,0.701,5.453
3.980,0.771,5.441
4.059,0.842,5.429
4.137,0.915,5.416
4.214,0.990,5.402
4.289,1.065,5.388
4.363,1.142,5.373
4.436,1.220,5.358
4.507,1.299,5.343
4.577,1.379,5.327
4.645,1.460,5.311
4.712,1.542,5.295
4.778,1.626,5.278
4.842,1.710,5.260
4.906,1.795,5.242
4.967,1.881,5.224
5.028,1.969,5.205
5.087,2.057,5.185
5.144,2.146,5.165
5.201,2.236,5.144
5.256,2.327,5.122
5.309,2.419,5.101
5.361,2.512,5.079
5.411,2.605,5.056
5.460,2.700,5.034
5.507,2.795,5.011
5.553,2.891,4.987
5.597,2.988,4.964
5.639,3.086,4.940
5.680,3.185,4.916
5.719,3.285,4.891
5.756,3.386,4.866
5.792,3.488,4.841
5.825,3.592,4.815
5.856,3.696,4.790
5.885,3.800,4.765
5.911,3.905,4.739
5.935,4.011,4.714
5.957,4.117,4.690
5.977,4.223,4.665
5.994,4.330,4.640
6.009,4.437,4.615
6.022,4.546,4.590
6.032,4.655,4.566
6.040,4.765,4.541
6.044,4.875,4.516
6.046,4.986,4.492
6.044,5.097,4.468
6.040,5.209,4.444
6.032,5.320,4.421
6.020,5.431,4.398
6.006,5.542,4.377
5.988,5.652,4.357
5.966,5.762,4.338
5.942,5.872,4.321
5.914,5.980,4.306
5.882,6.088,4.294
5.847,6.195,4.285
5.809,6.301,4.280
5.767,6.405,4.279
5.722,6.509,4.278
5.673,6.611,4.277
