-3.482,-0.815,7.344
-3.382,-0.813,7.402
-3.282,-0.810,7.465
-3.183,-0.805,7.531
-3.083,-0.801,7.603
-2.983,-0.795,7.682
-2.883,-0.789,7.768
-2.784,-0.783,7.856
-2.684,-0.776,7.948
-2.584,-0.768,7.978
-2.485,-0.760,7.891
-2.385,-0.752,7.804
-2.286,-0.743,7.718
-2.186,-0.734,7.633
-2.087,-0.724,7.547
-1.988,-0.713,7.461
-1.889,-0.702,7.376
-1.789,-0.690,7.292
-1.690,-0.677,7.210
-1.591,-0.663,7.129
-1.493,-0.649,7.050
-1.394,-0.634,6.973
-1.295,-0.617,6.897
-1.197,-0.600,6.822
-1.099,-0.582,6.748
-1.001,-0.562,6.674
-0.903,-0.542,6.603
-0.806,-0.520,6.532
-0.708,-0.497,6.463
-0.611,-0.473,6.396
-0.515,-0.447,6.329
-0.419,-0.420,6.263
-0.323,-0.392,6.199
-0.228,-0.362,6.135
-0.133,-0.330,6.073
-0.039,-0.297,6.011
0.055,-0.262,5.951
0.148,-0.226,5.890
0.240,-0.188,5.831
0.332,-0.148,5.773
0.422,-0.106,5.716
0.512,-0.062,5.658
0.601,-0.016,5.601
0.689,0.031,5.544
0.776,0.081,5.490
0.861,0.132,5.437
0.945,0.186,5.388
1.028,0.241,5.342
1.110,0.299,5.300
1.189,0.359,5.262
1.267,0.422,5.228
1.344,0.486,5.199
1.417,0.553,5.175
1.489,0.623,5.159
1.558,0.695,5.150
1.625,0.769,5.147
1.689,0.846,5.144
1.750,0.925,5.142
1.808,1.007,5.141
1.863,1.090,5.137
1.914,1.176,5.129
1.963,1.263,5.118
2.008,1.352,5.105
2.051,1.442,5.089
2.090,1.534,5.071
2.126,1.627,5.050
2.158,1.722,5.027
2.187,1.817,5.001
2.213,1.914,4.972
2.236,2.011,4.941
2.255,2.109,4.908
2.271,2.208,4.872
2.284,2.307,4.834
2.293,2.406,4.794
2.299,2.506,4.752
2.301,2.606,4.710
2.299,2.705,4.666
2.294,2.805,4.622
2.285,2.905,4.578
2.272,3.004,4.533
2.256,3.102,4.488
2.235,3.200,4.444
2.211,3.297,4.399
2.182,3.392,4.355
2.150,3.487,4.312
2.113,3.580,4.269
2.072,3.671,4.227
2.027,3.760,4.187
1.978,3.847,4.147
1.925,3.932,4.110
1.868,4.013,4.075
1.806,4.092,4.044
1.740,4.167,4.017
1.670,4.238,3.995
1.597,4.306,3.978
1.519,4.369,3.966
1.438,4.427,3.962
1.353,4.479,3.961
1.265,4.527,3.960
1.174,4.569,3.966
1.081,4.605,3.977
0.986,4.636,4.000
0.890,4.661,4.033
0.792,4.682,4.075
0.694,4.698,4.123
0.594,4.710,4.177
0.495,4.717,4.235
0.395,4.720,4.297
0.295,4.720,4.363
0.195,4.715,4.432
0.096,4.708,4.505
-0.004,4.697,4.580
-0.103,4.683,4.658
-0.201,4.667,4.739
-0.299,4.647,4.822
-0.397,4.626,4.909
-0.494,4.602,4.999
-0.590,4.576,5.091
-0.686,4.548,5.187
-0.781,4.519,5.287
-0.876,4.488,5.390
-0.971,4.456,5.498
-1.065,4.422,5.609
-1.159,4.388,5.726
-1.252,4.353,5.847
-1.346,4.317,5.975
-1.439,4.280,6.108
-1.531,4.244,6.247
-1.624,4.207,6.394
-1.717,4.170,6.358
-1.810,4.134,6.222
-1.903,4.097,6.095
-1.996,4.062,5.975
-2.090,4.027,5.862
-2.184,3.993,5.757
-2.278,3.960,5.658
-2.373,3.928,5.567
-2.468,3.898,5.483
-2.564,3.870,5.408
-2.660,3.844,5.341
-2.757,3.819,5.284
-2.855,3.798,5.236
-2.953,3.779,5.199
-3.051,3.762,5.172
-3.150,3.750,5.155
-3.250,3.740,5.146
-3.349,3.734,5.145
-3.449,3.732,5.144
-3.549,3.734,5.143
-3.649,3.739,5.153
-3.748,3.747,5.171
-3.847,3.759,5.201
-3.946,3.773,5.242
-4.045,3.790,5.293
-4.143,3.810,5.353
-4.240,3.831,5.421
-4.337,3.855,5.498
-4.434,3.880,5.583
-4.530,3.907,5.677
-4.626,3.934,5.779
-4.722,3.963,5.889
-4.817,3.993,6.009
-4.912,4.023,6.028
-5.008,4.053,5.879
-5.103,4.084,5.715
-5.198,4.114,5.560
-5.293,4.144,5.413
-5.389,4.173,5.274
-5.484,4.202,5.143
-5.581,4.229,5.019
-5.677,4.254,4.902
-5.774,4.278,4.790
-5.871,4.301,4.685
-5.969,4.320,4.585
-6.068,4.338,4.491
-6.166,4.352,4.401
-6.266,4.364,4.316
-6.365,4.372,4.236
-6.465,4.376,4.160
-6.565,4.376,4.090
-6.665,4.373,4.024
-6.764,4.364,3.964
-6.863,4.351,3.910
-6.961,4.333,3.862
-7.058,4.309,3.822
-7.154,4.280,3.791
-7.247,4.245,3.770
-7.338,4.204,3.756
-7.427,4.157,3.749
-7.511,4.104,3.749
-7.592,4.045,3.748
-7.668,3.981,3.757
-7.740,3.911,3.774
-7.808,3.838,3.797
-7.871,3.760,3.826
-7.929,3.679,3.860
-7.982,3.595,3.897
-8.031,3.507,3.937
-8.075,3.418,3.979
-8.114,3.326,4.023
-8.149,3.232,4.069
-8.179,3.137,4.117
-8.204,3.040,4.168
-8.225,2.943,4.219
-8.242,2.844,4.271
-8.255,2.745,4.324
-8.264,2.646,4.379
-8.269,2.546,4.436
-8.270,2.446,4.492
-8.268,2.347,4.547
-8.262,2.247,4.600
-8.252,2.147,4.651
-8.239,2.048,4.699
-8.222,1.950,4.745
-8.202,1.852,4.788
-8.178,1.755,4.830
-8.151,1.659,4.870
-8.121,1.564,4.909
-8.088,1.470,4.946
-8.052,1.377,4.981
-8.012,1.285,5.014
-7.970,1.194,5.045
-7.924,1.105,5.075
-7.876,1.018,5.102
-7.825,0.932,5.128
-7.770,0.848,5.152
-7.714,0.766,5.173
-7.654,0.686,5.192
-7.592,0.608,5.210
-7.527,0.532,5.226
-7.460,0.458,5.240
-7.390,0.387,5.248
-7.318,0.318,5.254
-7.243,0.251,5.268
-7.167,0.187,5.291
-7.088,0.125,5.319
-7.008,0.066,5.353
-6.926,0.008,5.390
-6.843,-0.047,5.425
-6.758,-0.099,5.457
-6.672,-0.150,5.489
-6.584,-0.198,5.524
-6.495,-0.243,5.562
-6.406,-0.287,5.604
-6.315,-0.328,5.651
-6.223,-0.368,5.699
-6.130,-0.405,5.749
-6.037,-0.441,5.799
-5.943,-0.474,5.851
-5.848,-0.506,5.905
-5.753,-0.536,5.960
-5.657,-0.564,6.016
-5.561,-0.590,6.073
-5.464,-0.615,6.131
-5.367,-0.638,6.189
-5.269,-0.659,6.247
-5.171,-0.679,6.305
-5.073,-0.698,6.363
-4.975,-0.715,6.422
-4.876,-0.730,6.482
-4.777,-0.744,6.542
-4.678,-0.757,6.603
-4.579,-0.768,6.665
-4.480,-0.778,6.726
-4.380,-0.787,6.789
-4.281,-0.795,6.851
-4.181,-0.801,6.914
-4.081,-0.806,6.976
-3.981,-0.810,7.039
-3.881,-0.813,7.101
-3.782,-0.815,7.163
-3.682,-0.816,7.224
-3.582,-0.816,7.285
