# v_mps,ax_max_mps2,ay_max_mps2
0.0,5.0,7.0
0.5,5.0,7.0
1.0,5.0,7.0
1.5,4.9,6.9
2.0,4.8,6.8
2.5,4.6,6.6
3.0,4.4,6.4
3.5,4.1,6.1
4.0,3.8,5.8
4.5,3.5,5.5
5.0,3.2,5.2
5.5,2.9,4.9
6.0,2.6,4.6
6.5,2.3,4.3
7.0,2.0,4.0
7.5,1.7,3.7
8.0,1.5,3.5
8.5,1.3,3.3
9.0,1.1,3.1
