# v_mps,ax_max_mps2,ay_max_mps2
0.0,15.0,12.0
0.5,15.0,12.0
1.0,15.0,12.0
1.5,14.9,11.9
2.0,14.7,11.7
2.5,14.5,11.5
3.0,14.2,11.0
3.5,13.8,10.5
4.0,13.4,10.0
4.5,13.0,9.2
5.0,12.4,8.4
5.5,11.8,7.6
6.0,11.2,6.8
6.5,10.6,6.0
7.0,10.0,5.2
7.5,9.4,4.5
8.0,7.5,2.8
8.5,7.0,2.6
9.0,6.5,2.5
9.5,6.0,2.5
10.0,5.5,2.5
