4.081,7.927,3.765
3.984,7.952,3.755
3.886,7.972,3.744
3.787,7.986,3.735
3.688,7.994,3.734
3.588,7.996,3.733
3.488,7.993,3.732
3.388,7.982,3.731
3.290,7.965,3.731
3.193,7.941,3.730
3.098,7.911,3.729
3.005,7.874,3.728
2.915,7.831,3.727
2.828,7.782,3.726
2.743,7.728,3.726
2.662,7.669,3.742
2.585,7.607,3.772
2.510,7.540,3.813
2.439,7.470,3.862
2.370,7.397,3.919
2.305,7.321,3.981
2.243,7.243,4.048
2.184,7.163,4.120
2.127,7.080,4.195
2.073,6.996,4.275
2.021,6.911,4.359
1.971,6.824,4.448
1.924,6.736,4.542
1.878,6.647,4.641
1.834,6.558,4.746
1.791,6.467,4.856
1.750,6.376,4.962
1.709,6.285,5.067
1.669,6.193,5.169
1.629,6.101,5.269
1.590,6.010,5.366
1.551,5.917,5.462
1.512,5.826,5.413
1.472,5.734,5.276
1.432,5.642,5.150
1.391,5.551,5.034
1.349,5.460,4.928
1.306,5.370,4.829
1.261,5.281,4.738
1.214,5.193,4.656
1.166,5.105,4.582
1.115,5.019,4.517
1.063,4.934,4.462
1.008,4.851,4.418
0.950,4.769,4.388
0.890,4.689,4.373
0.826,4.612,4.372
0.760,4.537,4.371
0.690,4.466,4.370
0.618,4.397,4.369
0.542,4.332,4.368
0.463,4.271,4.367
0.381,4.213,4.366
0.296,4.160,4.365
0.210,4.110,4.364
0.121,4.065,4.363
0.030,4.022,4.362
-0.062,3.983,4.378
-0.155,3.948,4.408
-0.250,3.915,4.450
-0.345,3.885,4.503
-0.441,3.858,4.564
-0.538,3.832,4.634
-0.635,3.809,4.713
-0.733,3.788,4.800
-0.831,3.769,4.895
-0.929,3.751,4.999
-1.028,3.734,5.103
-1.127,3.718,5.204
-1.225,3.703,5.303
-1.324,3.688,5.400
-1.423,3.673,5.481
-1.522,3.659,5.319
-1.621,3.644,5.169
-1.720,3.628,5.030
-1.818,3.611,4.902
-1.916,3.594,4.782
-2.015,3.575,4.671
-2.112,3.554,4.567
-2.210,3.532,4.469
-2.307,3.507,4.378
-2.403,3.480,4.292
-2.498,3.450,4.211
-2.593,3.417,4.136
-2.686,3.381,4.065
-2.778,3.342,3.998
-2.868,3.300,3.937
-2.957,3.254,3.883
-3.044,3.203,3.835
-3.128,3.149,3.794
-3.209,3.091,3.762
-3.287,3.029,3.735
-3.362,2.962,3.717
-3.432,2.892,3.711
-3.499,2.817,3.710
-3.560,2.738,3.709
-3.617,2.656,3.709
-3.668,2.570,3.708
-3.712,2.480,3.707
-3.750,2.388,3.706
-3.782,2.293,3.705
-3.808,2.197,3.704
-3.827,2.099,3.704
-3.840,2.000,3.703
-3.848,1.900,3.716
-3.850,1.800,3.740
-3.847,1.700,3.772
-3.839,1.600,3.810
-3.825,1.501,3.852
-3.808,1.403,3.888
-3.785,1.306,3.916
-3.758,1.209,3.939
-3.726,1.115,3.967
-3.690,1.021,3.998
-3.650,0.930,4.033
-3.607,0.840,4.069
-3.559,0.752,4.106
-3.508,0.666,4.143
-3.454,0.582,4.180
-3.396,0.500,4.217
-3.336,0.421,4.252
-3.272,0.343,4.287
-3.206,0.268,4.320
-3.138,0.196,4.352
-3.066,0.126,4.383
-2.993,0.058,4.413
-2.917,-0.007,4.441
-2.839,-0.070,4.468
-2.759,-0.130,4.494
-2.678,-0.188,4.518
-2.594,-0.242,4.541
-2.509,-0.295,4.562
-2.422,-0.344,4.578
-2.333,-0.390,4.589
-2.243,-0.434,4.597
-2.152,-0.474,4.601
-2.059,-0.512,4.603
-1.966,-0.547,4.627
-1.871,-0.579,4.668
-1.775,-0.609,4.719
-1.679,-0.636,4.772
-1.583,-0.661,4.827
-1.485,-0.684,4.866
-1.388,-0.705,4.892
-1.289,-0.722,4.912
-1.191,-0.738,4.933
-1.091,-0.751,4.955
-0.992,-0.762,4.976
-0.892,-0.770,4.995
-0.793,-0.776,5.015
-0.693,-0.779,5.035
-0.593,-0.780,5.056
-0.493,-0.779,5.077
-0.393,-0.776,5.099
-0.293,-0.770,5.122
-0.193,-0.763,5.145
-0.094,-0.753,5.169
0.005,-0.741,5.195
0.104,-0.727,5.222
0.203,-0.711,5.250
0.301,-0.693,5.278
0.399,-0.674,5.307
0.497,-0.652,5.336
0.594,-0.629,5.366
0.691,-0.604,5.396
0.787,-0.578,5.426
0.883,-0.549,5.457
0.979,-0.519,5.489
1.073,-0.488,5.520
1.168,-0.455,5.553
1.262,-0.420,5.585
1.355,-0.384,5.618
1.448,-0.347,5.652
1.540,-0.309,5.687
1.631,-0.269,5.722
1.723,-0.227,5.757
1.813,-0.185,5.792
1.903,-0.141,5.827
1.992,-0.097,5.861
2.081,-0.051,5.896
2.169,-0.004,5.930
2.257,0.045,5.964
2.344,0.094,5.998
2.430,0.144,6.032
2.516,0.195,6.066
2.601,0.247,6.099
2.686,0.300,6.131
2.770,0.354,6.163
2.854,0.409,6.195
2.937,0.465,6.227
3.019,0.522,6.259
3.101,0.579,6.290
3.182,0.638,6.299
3.263,0.697,6.267
3.343,0.757,6.237
3.422,0.818,6.208
3.500,0.879,6.178
3.578,0.942,6.148
3.656,1.005,6.119
3.732,1.070,6.089
3.808,1.135,6.060
3.883,1.201,6.030
3.957,1.268,6.001
4.030,1.336,5.972
4.103,1.405,5.942
4.174,1.475,5.913
4.245,1.545,5.883
4.315,1.617,5.854
4.383,1.690,5.824
4.451,1.763,5.795
4.518,1.838,5.765
4.583,1.913,5.736
4.648,1.990,5.706
4.711,2.067,5.676
4.773,2.145,5.646
4.834,2.224,5.615
4.894,2.304,5.585
4.953,2.386,5.554
5.010,2.468,5.523
5.065,2.551,5.493
5.120,2.634,5.463
5.173,2.719,5.434
5.224,2.805,5.404
5.274,2.891,5.375
5.322,2.979,5.346
5.369,3.067,5.318
5.414,3.157,5.290
5.458,3.247,5.263
5.499,3.338,5.236
5.539,3.429,5.210
5.577,3.522,5.184
5.612,3.615,5.159
5.646,3.709,5.135
5.678,3.804,5.112
5.708,3.899,5.089
5.735,3.995,5.068
5.761,4.092,5.047
5.784,4.189,5.027
5.805,4.287,5.008
5.823,4.385,4.989
5.839,4.484,4.971
5.853,4.583,4.952
5.864,4.682,4.933
5.873,4.782,4.914
5.879,4.882,4.893
5.883,4.982,4.868
5.884,5.082,4.843
5.882,5.182,4.819
5.878,5.281,4.800
5.871,5.381,4.787
5.861,5.481,4.775
5.849,5.580,4.764
5.833,5.679,4.751
5.815,5.777,4.736
5.794,5.875,4.717
5.770,5.972,4.695
5.744,6.068,4.670
5.714,6.163,4.645
5.682,6.258,4.618
5.647,6.352,4.591
5.609,6.444,4.563
5.569,6.536,4.534
5.525,6.626,4.505
5.479,6.714,4.476
5.430,6.801,4.446
5.378,6.887,4.417
5.323,6.970,4.388
5.266,7.052,4.359
5.205,7.131,4.332
5.142,7.209,4.306
5.076,7.284,4.281
5.007,7.356,4.260
4.935,7.426,4.241
4.861,7.493,4.227
4.784,7.556,4.218
4.704,7.617,4.217
4.622,7.674,4.216
4.537,7.727,4.216
4.450,7.776,4.215
4.361,7.821,4.214
4.270,7.862,4.213
4.176,7.897,4.212
