# x_m, y_m, v_mps
5.681,5.049,4.674
5.681,5.141,4.651
5.678,5.234,4.627
5.672,5.327,4.603
5.664,5.420,4.579
5.654,5.512,4.556
5.641,5.604,4.532
5.625,5.696,4.508
5.607,5.787,4.484
5.586,5.877,4.460
5.563,5.966,4.436
5.537,6.055,4.412
5.509,6.143,4.388
5.478,6.229,4.365
5.444,6.315,4.342
5.408,6.399,4.320
5.369,6.482,4.299
5.327,6.564,4.280
5.283,6.644,4.263
5.236,6.722,4.249
5.187,6.799,4.238
5.135,6.874,4.232
5.081,6.947,4.231
5.024,7.018,4.231
4.965,7.087,4.230
4.903,7.153,4.229
4.839,7.217,4.228
4.773,7.278,4.227
4.705,7.337,4.226
4.634,7.392,4.226
4.562,7.445,4.225
4.487,7.495,4.224
4.411,7.541,4.223
4.333,7.583,4.222
4.254,7.623,4.221
4.172,7.658,4.221
4.090,7.690,4.220
