5.202,4.743,4.017
5.102,4.751,4.033
5.003,4.754,4.059
4.903,4.753,4.091
4.803,4.747,4.130
4.704,4.738,4.174
4.605,4.726,4.223
4.506,4.709,4.274
4.408,4.690,4.329
4.311,4.668,4.387
4.214,4.642,4.447
4.118,4.614,4.510
4.023,4.584,4.575
3.929,4.551,4.643
3.835,4.516,4.714
3.743,4.479,4.788
3.651,4.441,4.864
3.559,4.400,4.944
3.468,4.359,5.027
3.378,4.316,5.115
3.289,4.272,5.206
3.200,4.227,5.302
3.111,4.181,5.400
3.023,4.134,5.496
2.935,4.087,5.590
2.847,4.039,5.682
2.759,3.992,5.774
2.671,3.944,5.863
2.584,3.896,5.857
2.496,3.849,5.741
2.408,3.802,5.633
2.319,3.755,5.532
2.231,3.709,5.438
2.142,3.664,5.350
2.052,3.620,5.268
1.962,3.578,5.192
1.871,3.536,5.121
1.779,3.496,5.056
1.687,3.458,4.997
1.594,3.421,4.943
1.501,3.387,4.896
1.406,3.354,4.854
1.311,3.324,4.819
1.215,3.297,4.791
1.118,3.272,4.771
1.021,3.250,4.760
0.923,3.232,4.758
0.824,3.216,4.757
0.725,3.204,4.756
0.625,3.196,4.755
0.526,3.192,4.754
0.426,3.192,4.752
0.326,3.196,4.751
0.227,3.203,4.750
0.127,3.215,4.749
0.029,3.230,4.748
-0.070,3.248,4.753
-0.167,3.269,4.769
-0.264,3.293,4.793
-0.360,3.319,4.825
-0.456,3.348,4.864
-0.551,3.379,4.910
-0.645,3.413,4.963
-0.738,3.448,5.021
-0.831,3.485,5.085
-0.923,3.523,5.155
-1.015,3.563,5.231
-1.106,3.604,5.313
-1.197,3.646,5.402
-1.287,3.688,5.498
-1.377,3.732,5.592
-1.467,3.776,5.684
-1.556,3.820,5.775
-1.645,3.864,5.777
-1.735,3.909,5.641
-1.824,3.953,5.513
-1.914,3.997,5.393
-2.004,4.040,5.279
-2.094,4.083,5.172
-2.185,4.125,5.070
-2.276,4.165,4.973
-2.368,4.205,4.881
-2.460,4.243,4.793
-2.553,4.279,4.709
