# x_m, y_m, v_mps
-7.776,-1.609,5.653
-7.732,-1.617,5.667
-7.689,-1.623,5.682
-7.645,-1.629,5.697
-7.601,-1.635,5.712
-7.557,-1.640,5.727
-7.512,-1.645,5.743
-7.468,-1.649,5.760
-7.423,-1.652,5.776
-7.378,-1.655,5.793
-7.333,-1.658,5.811
-7.288,-1.660,5.829
-7.243,-1.662,5.848
-7.198,-1.663,5.866
-7.152,-1.663,5.886
-7.107,-1.664,5.906
-7.061,-1.663,5.926
-7.016,-1.663,5.947
-6.970,-1.662,5.968
-6.924,-1.660,5.990
-6.878,-1.658,6.012
-6.832,-1.656,6.035
-6.786,-1.653,6.058
-6.740,-1.650,6.082
-6.694,-1.646,6.106
-6.648,-1.642,6.130
-6.602,-1.638,6.155
-6.555,-1.633,6.181
-6.509,-1.628,6.207
-6.463,-1.622,6.233
-6.416,-1.617,6.260
-6.370,-1.611,6.287
-6.323,-1.604,6.315
-6.277,-1.597,6.342
-6.230,-1.590,6.371
-6.183,-1.583,6.400
-6.137,-1.575,6.429
-6.090,-1.567,6.458
-6.043,-1.559,6.488
-5.996,-1.551,6.518
-5.949,-1.542,6.549
-5.903,-1.533,6.580
-5.856,-1.524,6.611
-5.809,-1.514,6.643
-5.762,-1.504,6.675
-5.715,-1.495,6.707
-5.667,-1.484,6.739
-5.620,-1.474,6.772
-5.573,-1.464,6.805
-5.526,-1.453,6.838
-5.479,-1.442,6.872
-5.431,-1.431,6.905
-5.384,-1.420,6.939
-5.336,-1.408,6.973
-5.289,-1.397,7.007
-5.241,-1.385,7.042
-5.194,-1.373,7.076
-5.146,-1.361,7.110
-5.098,-1.349,7.145
-5.051,-1.337,7.179
-5.003,-1.325,7.213
-4.955,-1.313,7.247
-4.907,-1.301,7.280
-4.859,-1.288,7.314
-4.810,-1.276,7.347
-4.762,-1.263,7.380
-4.714,-1.251,7.413
-4.666,-1.238,7.446
-4.617,-1.226,7.479
-4.569,-1.213,7.512
-4.521,-1.201,7.544
-4.472,-1.188,7.576
-4.424,-1.175,7.608
-4.375,-1.163,7.640
-4.327,-1.150,7.672
-4.278,-1.138,7.703
-4.230,-1.125,7.733
-4.181,-1.113,7.762
-4.133,-1.100,7.790
-4.085,-1.088,7.817
-4.037,-1.075,7.843
-3.988,-1.063,7.869
-3.940,-1.050,7.893
-3.892,-1.038,7.917
-3.844,-1.025,7.939
-3.796,-1.013,7.961
-3.749,-1.000,7.981
-3.701,-0.987,8.001
-3.653,-0.975,8.020
-3.605,-0.962,8.038
-3.558,-0.949,8.057
-3.510,-0.936,8.062
-3.462,-0.923,8.042
-3.414,-0.910,8.022
-3.367,-0.897,8.003
-3.319,-0.884,7.983
-3.271,-0.871,7.962
-3.223,-0.857,7.941
-3.175,-0.844,7.918
-3.127,-0.831,7.895
-3.080,-0.818,7.871
-3.032,-0.804,7.847
-2.984,-0.791,7.821
-2.936,-0.777,7.795
-2.888,-0.764,7.768
-2.840,-0.750,7.741
-2.792,-0.737,7.712
-2.745,-0.723,7.683
-2.697,-0.710,7.654
-2.649,-0.696,7.623
-2.601,-0.682,7.592
-2.553,-0.669,7.560
-2.506,-0.655,7.527
-2.458,-0.641,7.494
-2.410,-0.628,7.460
-2.363,-0.614,7.426
-2.315,-0.600,7.392
-2.268,-0.586,7.358
-2.221,-0.572,7.325
-2.173,-0.558,7.291
-2.126,-0.544,7.257
-2.079,-0.530,7.224
-2.032,-0.516,7.191
-1.985,-0.502,7.158
-1.939,-0.488,7.125
-1.892,-0.473,7.092
-1.845,-0.459,7.060
-1.799,-0.444,7.027
-1.753,-0.429,6.995
-1.706,-0.414,6.963
-1.660,-0.399,6.931
-1.614,-0.384,6.899
-1.569,-0.369,6.868
-1.523,-0.354,6.836
-1.477,-0.338,6.805
-1.432,-0.322,6.774
-1.387,-0.306,6.744
