# s_m, x_opt_m, y_opt_m, d_opt_m, x_left_m, y_left_m, d_left_m, x_right_m, y_right_m, d_right_m, v_opt_mps, v_left_mps, v_right_mps, kappa_opt_radpm, kappa_left_radpm, kappa_right_radpm, psi_opt_rad, psi_left_rad, psi_right_rad, ax_opt_mps2, ax_left_mps2, ax_right_mps2
2.498951,2.440844,-1.301174,0.000000,2.266151,-1.632217,0.370383,2.684920,-0.724124,-0.625436,6.100261,5.995398,6.362039,-0.034566,-0.049599,-0.048361,-0.340611,-0.417584,-0.408010,6.172773,5.544522,-5.268822
2.598909,2.535053,-1.334730,0.000000,2.354612,-1.673263,0.379530,2.777460,-0.767062,-0.616148,6.200582,6.084917,6.276985,-0.024868,-0.036855,-0.037680,-0.343583,-0.421844,-0.412698,6.595347,6.071801,-5.967600
2.698867,2.629111,-1.368496,0.000000,2.443427,-1.714898,0.388821,2.869330,-0.810129,-0.606729,6.306008,6.182020,6.179769,-0.015149,-0.024195,-0.026617,-0.345583,-0.424952,-0.416229,-3.619024,6.643266,-6.641684
2.798826,2.723163,-1.402421,0.000000,2.532643,-1.757027,0.398238,2.960558,-0.853208,-0.597197,6.248379,6.287150,6.070371,-0.005167,-0.011638,-0.015180,-0.346604,-0.426905,-0.418602,-7.806493,6.016758,-7.284392
2.898784,2.817190,-1.436392,0.000000,2.622292,-1.799541,0.407762,3.051179,-0.896183,-0.587571,6.122221,6.381395,5.948802,0.005021,0.000791,-0.003378,-0.346611,-0.427698,-0.419813,-7.344964,-7.412233,-7.643339
2.998742,2.911161,-1.470289,0.000000,2.712476,-1.842364,0.417382,3.141287,-0.938970,-0.577861,6.001101,6.264360,5.819226,0.015312,0.013080,0.008778,-0.345598,-0.427327,-0.419863,-6.896750,-6.815125,-7.155074
3.098700,3.005320,-1.504090,0.000000,2.803185,-1.885362,0.427076,3.230868,-0.981433,-0.568087,5.885104,6.154181,5.696029,0.026053,0.025275,0.021276,-0.343530,-0.425787,-0.418745,-6.494956,-6.277805,-6.706010
3.198658,3.099443,-1.537602,0.000000,2.894519,-1.928450,0.436838,3.320011,-1.023489,-0.558254,5.773734,6.050288,5.578779,0.036874,0.037391,0.034120,-0.340387,-0.423071,-0.416457,-6.129366,-5.793364,-6.295218
3.298616,3.193763,-1.570793,0.000000,2.986517,-1.971515,0.446656,3.408747,-1.065026,-0.548373,5.666625,5.952229,5.467103,0.047886,0.049449,0.047296,-0.336152,-0.419172,-0.412994,-5.797414,-5.361729,-5.925042
3.398574,3.288228,-1.603527,0.000000,3.079203,-2.014428,0.456515,3.497089,-1.105928,-0.538458,5.563420,5.859500,5.360559,0.059050,0.061454,0.060812,-0.330807,-0.414080,-0.408349,-5.496259,-4.959388,-5.572558
3.498532,3.382796,-1.635673,0.000000,3.172713,-2.057112,0.466417,3.585152,-1.146127,-0.528509,5.463776,5.771844,5.258963,0.070346,0.073421,0.074700,-0.324348,-0.407788,-0.402516,-5.215912,-4.597870,-5.255216
3.598490,3.477743,-1.667204,0.000000,3.267014,-2.099409,0.476340,3.672890,-1.185481,-0.518543,5.367505,5.688918,5.161978,0.081967,0.085363,0.088916,-0.316729,-0.400285,-0.395488,-4.962448,-4.261234,-4.955979
3.698448,3.572801,-1.697910,0.000000,3.362214,-2.141220,0.486286,3.760394,-1.223913,-0.508559,5.274281,5.610494,5.069390,0.093676,0.097282,0.103471,-0.307957,-0.391564,-0.387257,-4.727706,-3.948438,-4.671891
3.798406,3.668239,-1.727754,0.000000,3.458352,-2.182414,0.496245,3.847677,-1.261313,-0.498568,5.183907,5.536397,4.981108,0.105650,0.109176,0.118355,-0.297995,-0.381620,-0.377813,-4.513123,-3.661111,-4.392378
3.898364,3.763955,-1.756579,0.000000,3.555448,-2.222844,0.506205,3.934745,-1.297569,-0.488576,5.096140,5.466403,4.897235,0.117791,0.121041,0.133557,-0.286828,-0.370439,-0.367154,-4.317685,-3.388740,-4.119660
3.998322,3.859941,-1.784258,0.000000,3.653621,-2.262407,0.516171,4.021686,-1.332607,-0.478583,5.010735,5.400389,4.817737,0.130082,0.132808,0.149053,-0.274450,-0.358014,-0.355263,-4.114033,-3.139294,-3.864462
4.098280,3.956396,-1.810717,0.000000,3.752841,-2.300930,0.526124,4.108453,-1.366296,-0.468601,4.927982,5.338158,4.742488,0.142695,0.144450,0.164812,-0.260809,-0.344327,-0.342124,-3.925127,-2.905557,-3.617483
4.198238,4.053096,-1.835767,0.000000,3.853190,-2.338285,0.536067,4.195103,-1.398554,-0.458630,4.847712,5.279555,4.671430,0.155346,0.155933,0.180812,-0.245923,-0.329343,-0.327718,-3.744102,-2.687894,-3.380964
4.298196,4.150272,-1.859335,0.000000,3.954704,-2.374320,0.545990,4.281632,-1.429271,-0.448679,4.769885,5.224425,4.604496,0.168350,0.167208,0.196995,-0.229743,-0.313047,-0.312022,-3.575721,-2.485950,-3.154835
4.398154,4.247787,-1.881255,0.000000,4.057397,-2.408872,0.555885,4.368037,-1.458344,-0.438753,4.694354,5.172612,4.541603,0.181500,0.178258,0.213331,-0.212260,-0.295404,-0.295025,-3.423190,-2.297419,-2.935677
4.498112,4.345660,-1.901398,0.000000,4.161312,-2.441784,0.565747,4.454350,-1.485684,-0.428856,4.620889,5.123970,4.482697,0.194635,0.189036,0.229747,-0.193466,-0.276390,-0.276697,-3.286343,-2.122438,-2.725860
4.598071,4.443959,-1.919643,0.000000,4.266444,-2.472886,0.575569,4.540553,-1.511187,-0.418995,4.549244,5.078354,4.427694,0.207722,0.199525,0.246127,-0.173353,-0.255985,-0.257022,-3.164172,-1.959954,-2.524317
4.698029,4.542555,-1.935834,0.000000,4.372802,-2.502007,0.585344,4.626629,-1.534757,-0.409181,4.479179,5.035615,4.376518,0.220773,0.209712,0.262421,-0.151945,-0.234150,-0.235977,-3.015049,-1.806238,-2.331684
4.797987,4.641520,-1.949848,0.000000,4.480419,-2.528977,0.595054,4.712553,-1.556293,-0.399425,4.411382,4.995661,4.329067,0.235598,0.219565,0.278521,-0.129144,-0.210872,-0.213537,-2.877997,-1.645056,-2.143591
4.897945,4.740784,-1.961527,0.000000,4.589293,-2.553611,0.604687,4.798305,-1.575698,-0.389730,4.345680,4.958767,4.285311,0.250454,0.229139,0.294372,-0.104852,-0.186111,-0.189686,-2.725436,-1.492597,-1.967149
4.997903,4.840294,-1.970717,0.000000,4.699445,-2.575719,0.614236,4.883734,-1.592847,-0.380120,4.282531,4.924834,4.245125,0.266596,0.238399,0.309871,-0.079054,-0.159842,-0.164397,-2.548812,-1.343511,-1.796496
5.097861,4.940017,-1.977251,0.000000,4.810984,-2.595100,0.623674,4.968818,-1.607635,-0.370609,4.222621,4.893852,4.208420,0.284421,0.247339,0.324948,-0.051520,-0.132042,-0.137642,-2.382789,-1.201611,-1.635381
5.197819,5.039944,-1.980951,0.000000,4.923779,-2.611500,0.632972,5.053443,-1.619942,-0.361219,4.165834,4.865785,4.175057,0.302164,0.255960,0.339544,-0.022189,-0.102668,-0.109404,-2.227536,-1.064657,-1.481621
5.297777,5.139831,-1.981630,0.000000,5.037846,-2.624686,0.642126,5.137581,-1.629672,-0.351964,4.112037,4.840595,4.144890,0.319736,0.264214,0.353559,0.008871,-0.071690,-0.079655,-2.075599,-0.930537,-1.333407
5.397735,5.239782,-1.979116,0.000000,5.153137,-2.634407,0.651106,5.221169,-1.636724,-0.342871,4.061269,4.818302,4.117816,0.337446,0.272116,0.366981,0.041725,-0.039072,-0.048310,-1.927753,-0.802600,-1.195326
5.497693,5.339537,-1.973236,0.000000,5.269458,-2.640398,0.659876,5.386218,-1.642407,-0.326305,4.013541,4.798861,4.072289,0.355169,0.279621,0.391776,0.076331,-0.004770,0.019304,-1.777064,-0.676839,-0.934342
5.597651,5.439029,-1.963818,0.000000,5.505043,-2.640164,0.679479,5.467483,-1.640869,-0.317698,3.969036,4.768526,4.053597,0.373197,0.293355,0.403201,0.112726,0.068891,0.055906,-1.625430,-0.438373,-0.811604
5.697609,5.538172,-1.950685,0.000000,5.623960,-2.633403,0.687855,5.547771,-1.636310,-0.309357,3.927888,4.757563,4.037464,0.391314,0.299499,0.413954,0.150960,0.108226,0.094368,-1.471363,-0.323838,-0.692478
5.797567,5.636589,-1.933710,0.000000,5.743445,-2.621850,0.695913,5.626940,-1.628660,-0.301337,3.890264,4.749385,4.023799,0.409488,0.305175,0.424065,0.190946,0.148952,0.134697,-1.306413,-0.212335,-0.578192
5.897525,5.734364,-1.912693,0.000000,5.863193,-2.605244,0.703589,5.704797,-1.617869,-0.293691,3.856550,4.743977,4.012489,0.428068,0.310374,0.433501,0.232829,0.190963,0.176764,-1.136388,-0.102567,-0.466599
5.997483,5.831047,-1.887540,0.000000,5.983070,-2.583303,0.710836,5.781213,-1.603888,-0.286481,3.826983,4.741342,4.003445,0.446534,0.315091,0.442297,0.276519,0.234124,0.220461,-0.945082,-0.050519,-0.358086
6.097441,5.926551,-1.858086,0.000000,6.102777,-2.555756,0.717577,5.855978,-1.586689,-0.279780,3.802218,4.740033,3.996577,0.465649,0.319372,0.450454,0.322100,0.278242,0.265628,-0.739032,-0.050518,-0.252587
6.197399,6.020645,-1.824195,0.000000,6.221990,-2.522341,0.723733,5.928894,-1.566258,-0.273663,3.782739,4.738713,3.991788,0.484734,0.323190,0.457952,0.369647,0.323246,0.312065,-0.525354,-0.050425,-0.150510
6.297357,6.112857,-1.785842,0.000000,6.340412,-2.482779,0.729232,5.999720,-1.542604,-0.268227,3.768831,4.737384,3.988972,0.503069,0.326580,0.464813,0.418966,0.368943,0.359632,-0.266580,-0.050324,-0.050747
6.397316,6.203164,-1.742836,0.000000,6.457494,-2.436895,0.733961,6.068487,-1.515660,-0.263541,3.761754,4.736048,3.988032,0.522607,0.329555,0.471007,0.470260,0.415233,0.408077,-0.031554,-0.050260,-0.035228
6.497274,6.290979,-1.695243,0.000000,6.685373,-2.325871,0.743330,6.199223,-1.451996,-0.256547,3.760916,4.733369,3.986739,0.538981,0.334281,0.481516,0.523322,0.509103,0.506858,-0.031540,-0.049761,-0.035631
6.597232,6.376158,-1.642957,0.000000,6.794336,-2.261352,0.746413,6.261949,-1.414850,-0.253450,3.760077,4.732037,3.986087,0.555483,0.336039,0.485837,0.578012,0.556464,0.556723,-0.031526,-0.049744,-0.035757
6.697190,6.458347,-1.585993,0.000000,6.899302,-2.191389,0.748954,6.322927,-1.374204,-0.250844,3.759239,4.730711,3.985430,0.566096,0.337413,0.489552,0.634342,0.603905,0.606667,-0.031512,-0.049580,-0.035693
6.797148,6.537091,-1.524563,0.000000,7.000098,-2.116303,0.751087,6.382229,-1.330022,-0.248611,3.758401,4.729394,3.984768,0.560160,0.338420,0.492676,0.690569,0.651342,0.656414,-0.031498,-0.049667,-0.035741
6.897106,6.612394,-1.458714,0.000000,7.096317,-2.036679,0.752890,6.439636,-1.282510,-0.246660,3.757563,4.728082,3.984099,0.556676,0.339033,0.495228,0.746416,0.698660,0.705794,-0.031483,-0.049553,-0.035701
6.997064,6.683845,-1.388865,0.000000,7.188080,-1.952709,0.754475,6.495123,-1.231730,-0.244884,3.756726,4.726778,3.983425,0.540505,0.339279,0.497192,0.801388,0.745674,0.754542,-0.031483,-0.049540,-0.035663
7.097022,6.751445,-1.315232,0.000000,7.275158,-1.864900,0.755917,6.548537,-1.177862,-0.243239,3.755888,4.725482,3.982746,0.522350,0.339148,0.498557,0.854494,0.792332,0.802472,0.234521,-0.049589,-0.035692
7.196980,6.815131,-1.238140,0.000000,7.435336,-1.678970,0.760073,6.648739,-1.061503,-0.239927,3.762124,4.722908,3.981371,0.506050,0.337747,0.499524,0.905922,0.883824,0.895146,0.447774,-0.049561,-0.035361
7.296938,6.874806,-1.157968,0.000000,7.508380,-1.581554,0.761875,6.695314,-0.999382,-0.238105,3.774003,4.721631,3.980681,0.489513,0.336505,0.499131,0.955666,0.928400,0.939637,0.641625,-0.049448,-0.035349
7.396896,6.930494,-1.074960,0.000000,7.576872,-1.481396,0.763528,6.739510,-0.934747,-0.236407,3.790959,4.720360,3.979986,0.474533,0.334933,0.498160,1.003838,0.971855,0.982705,0.793586,-0.049451,-0.035337
7.496854,6.982188,-0.989399,0.000000,7.640716,-1.378957,0.765050,6.781193,-0.867861,-0.234818,3.811826,4.719095,3.979286,0.460180,0.333094,0.496577,1.050564,1.014254,1.024397,0.923772,-0.049461,-0.035324
7.596812,7.029884,-0.901562,0.000000,7.699995,-1.274450,0.766458,6.820321,-0.798872,-0.233327,3.835974,4.717836,3.978582,0.446529,0.331005,0.494329,1.095872,1.055575,1.064959,1.034408,-0.049319,-0.035312
7.696770,7.073611,-0.811690,0.000000,7.754802,-1.168054,0.767774,6.856933,-0.727792,-0.231914,3.862834,4.716584,3.977872,0.433693,0.328729,0.491463,1.139865,1.095805,1.104413,1.126494,-0.049450,-0.035299
7.796728,7.113410,-0.719987,0.000000,7.805092,-1.060269,0.769021,6.890934,-0.654909,-0.230554,3.891875,4.715337,3.977159,0.420682,0.326298,0.487960,1.182568,1.135049,1.142859,1.218111,-0.049323,-0.035287
7.896686,7.149307,-0.626723,0.000000,7.851111,-0.950984,0.770236,6.922401,-0.580176,-0.229218,3.923036,4.714097,3.976439,0.408410,0.323743,0.483890,1.223991,1.173311,1.180336,1.295343,-0.049381,-0.035274
7.996644,7.181384,-0.532026,0.000000,7.930430,-0.729307,0.773656,6.977461,-0.426241,-0.226343,3.955904,4.711940,3.974989,0.394461,0.318411,0.474164,1.264154,1.247204,1.252768,1.399867,0.033955,-0.013459
8.096602,7.209695,-0.436162,0.000000,7.963970,-0.617146,0.775277,7.001106,-0.347162,-0.224708,3.991119,4.712784,3.974709,0.380560,0.315664,0.468654,1.302883,1.282943,1.287845,1.502213,0.098962,0.080518
8.196561,7.234332,-0.339318,0.000000,7.993514,-0.504530,0.776848,7.022145,-0.266953,-0.223109,4.028566,4.715228,3.976389,0.368276,0.312887,0.462755,1.340269,1.317975,1.322237,1.576293,0.158570,0.172267
8.296519,7.255398,-0.241579,0.000000,8.019262,-0.391226,0.778384,7.040637,-0.185574,-0.221533,4.067490,4.719134,3.980002,0.358108,0.310033,0.456620,1.376584,1.352315,1.355982,1.614840,0.214654,0.259677
8.396477,7.272941,-0.143215,0.000000,8.041243,-0.277582,0.779885,7.056535,-0.103373,-0.219984,4.106983,4.724396,3.985461,0.348003,0.307143,0.450262,1.411861,1.386022,1.389157,1.656205,0.266711,0.343239
8.496435,7.287054,-0.044269,0.000000,8.059562,-0.163613,0.781350,7.069873,-0.020387,-0.218466,4.147096,4.730908,3.992693,0.341324,0.304233,0.443826,1.446272,1.419186,1.421815,1.638039,0.314891,0.421126
8.596393,7.297784,0.055102,0.000000,8.074298,-0.049301,0.782778,7.080645,0.063190,-0.216979,4.186392,4.738574,4.001572,0.335699,0.301330,0.437506,1.480106,1.451802,1.453995,1.606291,0.358979,0.490856
8.696351,7.305174,0.154779,0.000000,8.085487,0.065228,0.784166,7.088855,0.147233,-0.215529,4.224571,4.747283,4.011917,0.330853,0.298480,0.431374,1.513393,1.483993,1.485773,1.566072,0.398326,0.552164
8.796309,7.309262,0.254658,0.000000,8.093169,0.179967,0.785499,7.094499,0.231539,-0.214133,4.261465,4.756922,4.023529,0.328246,0.295706,0.425578,1.546332,1.515771,1.517190,1.488311,0.432795,0.603443
8.896267,7.310071,0.354603,0.000000,8.097347,0.294939,0.786757,7.097569,0.315993,-0.212814,4.296233,4.767378,4.036184,0.326298,0.293063,0.420113,1.579038,1.547197,1.548315,1.405197,0.461473,0.645774
8.996225,7.307621,0.454531,0.000000,8.095181,0.524841,0.789771,7.095973,0.485052,-0.210229,4.328804,4.790112,4.063817,0.323819,0.288391,0.410522,1.611542,1.609222,1.609846,1.340715,0.498017,0.700682
9.096183,7.301939,0.554317,0.000000,8.088876,0.639550,0.791058,7.091326,0.569605,-0.208938,4.359653,4.802041,4.078391,0.321064,0.286462,0.406397,1.643771,1.639948,1.640363,1.288553,0.504441,0.714653
9.196141,7.293058,0.653866,0.000000,8.079118,0.753960,0.792220,7.084132,0.653942,-0.207769,4.389097,4.814088,4.093196,0.318609,0.284798,0.402789,1.675728,1.670528,1.670777,1.235756,0.503939,0.719303
9.296099,7.281011,0.753083,0.000000,8.065895,0.868126,0.793239,7.074390,0.738055,-0.206742,4.417151,4.826104,4.108050,0.317080,0.283389,0.399621,1.707493,1.701019,1.701141,1.168650,0.497178,0.716531
9.396057,7.265823,0.851887,0.000000,8.049235,0.981763,0.794098,7.062117,0.821767,-0.205873,4.443518,4.837921,4.122780,0.315897,0.282205,0.396966,1.739129,1.731490,1.731484,1.100086,0.485438,0.705497
9.496015,7.247528,0.950147,0.000000,8.029144,1.094871,0.794791,7.047309,0.905136,-0.205169,4.468197,4.849434,4.137244,0.313575,0.281205,0.394780,1.770600,1.761937,1.761843,1.062497,0.470119,0.687396
9.595973,7.226160,1.047792,0.000000,8.005649,1.207315,0.795307,7.029988,0.988032,-0.204644,4.491903,4.860558,4.151291,0.311220,0.280367,0.392964,1.801824,1.792431,1.792239,1.029700,0.452024,0.664458
9.695931,7.201764,1.144728,0.000000,7.978777,1.318970,0.795626,7.010183,1.070322,-0.204316,4.514759,4.871226,4.164816,0.309483,0.279657,0.391438,1.832836,1.822982,1.822709,0.986661,0.432255,0.638419
