# x_m, y_m, v_mps
-6.427,-0.471,5.717
-6.382,-0.539,5.716
-6.335,-0.606,5.715
-6.286,-0.670,5.714
-6.234,-0.731,5.713
-6.181,-0.790,5.712
-6.126,-0.846,5.712
-6.069,-0.899,5.711
-6.010,-0.949,5.710
-5.949,-0.996,5.709
-5.887,-1.040,5.708
-5.824,-1.080,5.707
-5.760,-1.116,5.706
-5.694,-1.148,5.705
-5.626,-1.177,5.704
-5.557,-1.203,5.703
-5.485,-1.225,5.702
-5.412,-1.244,5.701
-5.336,-1.260,5.700
-5.259,-1.273,5.699
-5.181,-1.282,5.698
-5.102,-1.288,5.697
-5.022,-1.291,5.696
-4.940,-1.291,5.695
-4.858,-1.287,5.694
-4.776,-1.281,5.696
-4.692,-1.272,5.703
-4.608,-1.261,5.716
-4.524,-1.246,5.733
-4.440,-1.230,5.756
-4.355,-1.210,5.783
-4.270,-1.189,5.816
-4.184,-1.165,5.854
-4.099,-1.139,5.897
-4.013,-1.111,5.945
-3.927,-1.082,5.999
-3.841,-1.050,6.057
-3.754,-1.017,6.120
-3.668,-0.983,6.188
-3.581,-0.947,6.261
-3.495,-0.910,6.338
-3.408,-0.872,6.416
-3.321,-0.832,6.493
-3.233,-0.792,6.570
-3.145,-0.750,6.646
-3.057,-0.709,6.722
-2.969,-0.666,6.797
-2.880,-0.623,6.873
-2.790,-0.579,6.947
-2.701,-0.535,7.000
-2.610,-0.491,7.000
-2.519,-0.447,7.000
-2.427,-0.403,7.000
-2.335,-0.359,7.000
-2.242,-0.315,7.000
-2.148,-0.272,7.000
-2.053,-0.229,7.000
-1.958,-0.187,7.000
-1.861,-0.145,7.000
-1.764,-0.105,7.000
-1.665,-0.065,7.000
-1.566,-0.026,7.000
-1.465,0.011,7.000
-1.364,0.048,7.000
-1.261,0.082,7.000
-1.157,0.115,7.000
-1.052,0.147,7.000
-0.945,0.176,7.000
-0.838,0.203,7.000
-0.729,0.228,7.000
-0.619,0.250,7.000
-0.508,0.270,7.000
-0.396,0.287,7.000
-0.283,0.301,7.000
-0.168,0.311,7.000
-0.053,0.319,7.000
0.063,0.322,7.000
0.179,0.322,7.000
0.296,0.318,7.000
0.412,0.310,7.000
0.527,0.298,7.000
0.641,0.284,7.000
0.753,0.266,7.000
0.864,0.245,7.000
0.973,0.222,7.000
1.081,0.196,7.000
1.188,0.168,7.000
1.293,0.139,7.000
1.398,0.107,7.000
1.501,0.074,7.000
1.604,0.039,7.000
1.705,0.003,7.000
1.805,-0.035,7.000
1.905,-0.074,7.000
2.003,-0.114,7.000
2.101,-0.155,7.000
2.197,-0.196,7.000
2.293,-0.239,7.000
2.388,-0.282,7.000
2.482,-0.326,7.000
2.575,-0.370,7.000
2.667,-0.414,7.000
2.759,-0.459,7.000
2.850,-0.504,7.000
2.941,-0.548,7.000
3.031,-0.593,7.000
3.120,-0.637,7.000
3.210,-0.682,7.000
3.298,-0.725,7.000
