# x_m, y_m, v_mps
2.219,2.858,6.431
2.216,2.915,6.431
2.211,2.972,6.430
2.205,3.029,6.429
2.198,3.086,6.428
2.191,3.143,6.427
2.182,3.200,6.426
2.172,3.256,6.426
2.162,3.313,6.425
2.151,3.369,6.424
2.138,3.425,6.423
2.125,3.481,6.422
2.111,3.537,6.421
2.096,3.592,6.421
2.080,3.647,6.420
2.063,3.702,6.419
2.045,3.757,6.418
2.026,3.812,6.417
2.006,3.866,6.417
1.986,3.920,6.416
1.964,3.973,6.415
1.941,4.027,6.414
1.918,4.080,6.413
1.893,4.132,6.412
1.868,4.184,6.412
1.841,4.236,6.411
1.814,4.287,6.410
1.785,4.338,6.409
1.756,4.388,6.408
1.726,4.438,6.407
1.694,4.488,6.407
1.662,4.536,6.406
1.629,4.585,6.405
1.595,4.632,6.404
1.559,4.679,6.403
1.523,4.726,6.402
1.486,4.772,6.402
1.448,4.817,6.401
1.409,4.861,6.400
1.369,4.905,6.399
1.328,4.948,6.398
1.286,4.990,6.397
1.243,5.031,6.396
1.199,5.071,6.396
1.154,5.111,6.395
1.109,5.150,6.394
1.062,5.187,6.393
1.014,5.224,6.392
0.966,5.260,6.391
0.916,5.294,6.390
0.866,5.328,6.390
0.814,5.361,6.389
0.762,5.392,6.388
0.709,5.422,6.387
0.654,5.451,6.387
0.599,5.478,6.386
0.543,5.504,6.385
0.486,5.529,6.384
0.429,5.552,6.383
0.370,5.574,6.382
0.311,5.595,6.381
0.251,5.613,6.380
0.189,5.630,6.380
0.128,5.645,6.379
0.065,5.658,6.378
0.002,5.670,6.377
-0.061,5.679,6.376
-0.125,5.687,6.375
-0.188,5.692,6.374
-0.252,5.695,6.373
-0.314,5.697,6.372
-0.377,5.697,6.371
-0.439,5.695,6.371
-0.500,5.692,6.370
-0.562,5.687,6.369
-0.622,5.680,6.368
-0.683,5.672,6.367
-0.743,5.663,6.366
-0.802,5.652,6.365
-0.861,5.640,6.365
-0.919,5.626,6.364
-0.977,5.612,6.363
-1.035,5.596,6.362
-1.091,5.579,6.361
-1.148,5.561,6.360
-1.203,5.542,6.359
-1.259,5.522,6.359
-1.313,5.501,6.358
-1.367,5.480,6.357
-1.421,5.457,6.356
-1.474,5.433,6.355
-1.526,5.408,6.355
-1.577,5.383,6.354
-1.628,5.357,6.353
-1.679,5.330,6.352
-1.729,5.302,6.351
-1.778,5.274,6.351
-1.827,5.245,6.352
-1.875,5.216,6.355
-1.922,5.186,6.360
-1.969,5.155,6.367
-2.015,5.124,6.376
-2.061,5.093,6.386
-2.107,5.061,6.398
-2.151,5.028,6.412
-2.195,4.996,6.428
-2.239,4.963,6.446
-2.282,4.929,6.465
-2.325,4.895,6.485
-2.367,4.861,6.508
-2.409,4.827,6.531
-2.450,4.792,6.554
-2.491,4.757,6.577
-2.532,4.722,6.600
-2.572,4.686,6.622
-2.611,4.651,6.644
-2.651,4.615,6.666
-2.689,4.580,6.688
-2.728,4.544,6.710
-2.766,4.508,6.731
-2.804,4.472,6.753
-2.841,4.436,6.774
-2.878,4.400,6.795
-2.915,4.364,6.816
-2.952,4.328,6.836
-2.988,4.292,6.857
-3.025,4.256,6.877
-3.060,4.220,6.897
-3.096,4.184,6.917
-3.132,4.149,6.936
-3.167,4.113,6.956
-3.202,4.078,6.975
-3.237,4.043,6.994
-3.272,4.008,7.013
-3.307,3.973,7.032
-3.342,3.939,7.051
-3.377,3.904,7.069
-3.411,3.870,7.087
-3.446,3.837,7.106
-3.480,3.803,7.123
-3.515,3.770,7.141
-3.549,3.738,7.159
-3.584,3.705,7.176
-3.618,3.673,7.194
-3.653,3.642,7.207
-3.688,3.610,7.203
-3.722,3.580,7.199
-3.757,3.549,7.197
-3.792,3.519,7.196
-3.827,3.490,7.195
-3.862,3.461,7.195
-3.898,3.432,7.194
-3.933,3.404,7.193
-3.968,3.377,7.193
-4.004,3.350,7.192
-4.040,3.323,7.191
-4.076,3.298,7.190
-4.112,3.272,7.190
-4.148,3.248,7.189
-4.185,3.224,7.188
-4.221,3.200,7.188
-4.258,3.178,7.187
-4.295,3.156,7.186
-4.332,3.135,7.186
-4.369,3.114,7.185
-4.406,3.094,7.184
-4.444,3.075,7.184
-4.481,3.057,7.183
-4.519,3.039,7.182
-4.557,3.023,7.182
-4.595,3.007,7.181
-4.633,2.991,7.180
-4.671,2.977,7.180
-4.710,2.964,7.179
-4.748,2.951,7.178
-4.787,2.940,7.178
-4.826,2.929,7.177
-4.865,2.919,7.176
-4.904,2.910,7.176
-4.943,2.901,7.175
-4.983,2.894,7.174
-5.024,2.887,7.174
-5.065,2.881,7.173
-5.106,2.876,7.172
-5.147,2.871,7.172
-5.189,2.867,7.171
-5.231,2.864,7.170
-5.273,2.862,7.170
-5.316,2.860,7.169
-5.359,2.859,7.168
-5.402,2.859,7.168
-5.445,2.859,7.167
-5.489,2.860,7.166
-5.533,2.862,7.166
-5.577,2.864,7.165
-5.621,2.867,7.164
-5.665,2.870,7.163
-5.710,2.874,7.163
-5.755,2.878,7.162
-5.800,2.883,7.161
-5.845,2.888,7.161
-5.890,2.894,7.160
-5.935,2.901,7.159
-5.981,2.907,7.160
