# x_m, y_m, v_mps
-10.086,2.672,5.046
-10.079,2.556,5.045
-10.068,2.440,5.043
-10.054,2.325,5.042
-10.036,2.210,5.041
-10.014,2.096,5.040
-9.988,1.982,5.038
-9.959,1.869,5.037
-9.926,1.758,5.036
-9.888,1.647,5.034
-9.847,1.537,5.033
-9.803,1.429,5.032
-9.754,1.323,5.030
-9.702,1.217,5.029
-9.646,1.114,5.028
-9.586,1.013,5.026
-9.522,0.913,5.025
-9.455,0.816,5.024
-9.384,0.721,5.022
-9.309,0.629,5.021
-9.231,0.539,5.020
-9.149,0.452,5.018
-9.063,0.369,5.017
-8.974,0.289,5.016
-8.883,0.212,5.014
-8.789,0.140,5.013
-8.693,0.072,5.012
-8.596,0.008,5.010
-8.498,-0.053,5.012
-8.398,-0.111,5.017
-8.297,-0.165,5.025
-8.194,-0.216,5.037
-8.091,-0.263,5.051
-7.987,-0.308,5.067
-7.882,-0.350,5.087
-7.777,-0.389,5.109
-7.671,-0.425,5.133
-7.565,-0.459,5.160
-7.458,-0.490,5.189
-7.352,-0.518,5.220
-7.245,-0.545,5.254
-7.138,-0.569,5.290
-7.031,-0.590,5.328
-6.924,-0.610,5.368
-6.817,-0.628,5.411
-6.710,-0.644,5.455
-6.603,-0.658,5.503
-6.497,-0.670,5.552
-6.390,-0.681,5.604
-6.284,-0.691,5.658
-6.179,-0.699,5.714
-6.073,-0.706,5.773
-5.968,-0.711,5.834
-5.863,-0.715,5.897
-5.759,-0.719,5.962
-5.655,-0.721,6.029
-5.551,-0.723,6.099
-5.448,-0.724,6.171
-5.345,-0.724,6.244
-5.242,-0.723,6.320
-5.140,-0.722,6.398
-5.038,-0.721,6.477
-4.937,-0.719,6.555
-4.836,-0.717,6.631
-4.736,-0.715,6.706
-4.637,-0.713,6.780
-4.537,-0.711,6.853
-4.438,-0.709,6.925
-4.339,-0.707,6.996
-4.239,-0.705,7.000
